Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
STN1	26868.2687	31635.0518	-8.878	26868.2688	31635.0518	-8.878	0.1	0.0	0.0	0.1	0.0	0.0
STN2	27037.6213	31669.072	-8.959	27037.6212	31669.072	-8.9589	-0.1	0.0	0.1	-0.1	0.0	0.1
CRF01	26845.4058	31636.5556	-10.0895	26845.4058	31636.5556	-10.0895	0.0	0.0	0.0	0.0	0.0	0.0
CRF02	26847.446	31634.4442	-11.5698	26847.4461	31634.4442	-11.5699	0.1	0.0	-0.1	0.1	0.0	-0.1
CRF03	26846.2894	31630.9438	-9.8532	26846.2893	31630.9438	-9.8532	-0.1	0.0	0.0	-0.1	0.0	0.0
CRF04	26855.2949	31638.173	-9.8857	26855.2949	31638.173	-9.8857	0.0	0.0	0.0	0.0	0.0	0.0
CRF05	26855.5929	31635.8056	-11.3236	26855.593	31635.8056	-11.3236	0.1	0.0	0.0	0.1	0.0	0.0
CRF06	26856.2488	31632.5706	-9.5755	26856.2487	31632.5706	-9.5755	-0.1	0.0	0.0	-0.1	0.0	0.0
CRF07	26864.9019	31639.9274	-9.3856	26864.9019	31639.9274	-9.3856	0.0	0.0	0.0	0.0	0.0	0.0
CRF08	26865.3643	31637.7094	-11.1167	26865.3643	31637.7094	-11.1167	0.0	0.0	0.0	0.0	0.0	0.0
CRF09	26865.5308	31634.2505	-9.6349	26865.5308	31634.2504	-9.6349	0.0	-0.1	0.0	0.0	-0.1	0.0
CRF10	27049.5941	31671.3752	-9.1375	27049.5941	31671.3753	-9.1374	0.0	0.1	0.1	0.0	0.1	0.1
CRF11	27049.0712	31674.3339	-10.8947	27049.0712	31674.3339	-10.8947	0.0	0.0	0.0	0.0	0.0	0.0
CRF12	27048.5497	31676.7425	-9.4658	27048.5497	31676.7425	-9.4658	0.0	0.0	0.0	0.0	0.0	0.0
CRF13	27060.4401	31673.4164	-8.9616	27060.4401	31673.4164	-8.9617	0.0	0.0	-0.1	0.0	0.0	-0.1
CRF14	27059.3013	31676.4476	-10.9465	27059.3014	31676.4476	-10.9466	0.1	0.0	-0.1	0.1	0.0	-0.1
CRF15	27058.3388	31678.7628	-9.4985	27058.3388	31678.7628	-9.4985	0.0	0.0	0.0	0.0	0.0	0.0
CRF16	27071.6482	31675.9197	-9.021	27071.6482	31675.9197	-9.021	0.0	0.0	0.0	0.0	0.0	0.0
