Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
C20BR	26944.876	31653.001	-10.8088	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C21BR	26947.6327	31653.5584	-10.8099	26947.6328	31653.5584	-10.8103	0.1	0.0	-0.4	0.0	-0.1	-0.4
C22BR	26950.9592	31654.2038	-10.8018	26950.9592	31654.2034	-10.8021	0.0	-0.4	-0.3	-0.4	-0.1	-0.3
C23BR	26953.5395	31655.5582	-10.8027	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C24BR	26957.8369	31657.2514	-10.8243	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C25BR	26959.7566	31655.9891	-10.8087	26959.7566	31655.9888	-10.8082	0.0	-0.3	0.5	0.3	-0.1	0.5
C26BR	26962.0979	31658.7368	-10.8212	26962.0981	31658.7372	-10.8204	0.2	0.4	0.8	0.4	-0.1	0.8
C27BR	26964.1738	31658.8553	-10.8396	26964.1737	31658.8551	-10.8388	-0.1	-0.2	0.8	-0.2	0.0	0.8
C28BR	26966.6146	31658.9953	-10.8243	26966.6146	31658.9957	-10.8234	0.0	0.4	0.9	-0.4	0.1	0.9
C29BR	26970.8593	31660.3163	-10.8022	26970.8594	31660.3167	-10.8022	0.1	0.4	0.0	-0.4	0.2	0.0
C30BR	26972.9597	31660.223	-10.8084	26972.9597	31660.2233	-10.8077	0.0	0.3	0.7	-0.3	0.1	0.7
C31BR	26975.5927	31661.2705	-10.8219	26975.5921	31661.2702	-10.821	-0.6	-0.3	0.9	-0.4	0.5	0.9
C32BR	26979.4748	31661.5495	-10.8213	26979.4749	31661.5498	-10.8206	0.1	0.3	0.7	-0.3	0.2	0.7
C33BR	26982.6578	31661.296	-10.8064	26982.6578	31661.2964	-10.806	0.0	0.4	0.4	-0.4	0.1	0.4
C34BR	26986.0837	31661.9414	-10.8121	26986.0838	31661.9418	-10.8112	0.1	0.4	0.9	-0.4	0.2	0.9
C35BR	26988.773	31662.4723	-10.8103	26988.773	31662.4727	-10.8099	0.0	0.4	0.4	-0.4	0.1	0.4
C36BR	26990.7575	31662.8838	-10.8128	26990.7575	31662.8843	-10.8121	0.0	0.5	0.7	-0.5	0.1	0.7
C37BR	26993.4414	31663.4534	-10.8099	26993.4415	31663.4537	-10.8096	0.1	0.3	0.3	-0.3	0.2	0.3
C38BR	26997.5196	31664.1831	-10.8073	26997.5197	31664.1836	-10.8071	0.1	0.5	0.2	-0.5	0.2	0.2
C39BR	27001.6427	31665.0476	-10.8101	27001.6429	31665.048	-10.8097	0.2	0.4	0.4	-0.3	0.3	0.4
C40BR	27003.5119	31665.3576	-10.8045	27003.512	31665.3579	-10.8039	0.1	0.3	0.6	-0.3	0.2	0.6
C41BR	27005.6321	31665.8488	-10.8093	27005.6322	31665.8491	-10.8089	0.1	0.3	0.4	-0.3	0.2	0.4
C05LL	26897.0715	31646.2558	-9.2509	26897.0716	31646.2559	-9.2507	0.1	0.1	0.2	-0.1	0.1	0.2
C06LL	26902.7541	31647.3988	-9.9092	26902.7541	31647.3989	-9.909	0.0	0.1	0.2	-0.1	0.0	0.2
C07LL	26904.8045	31647.8136	-8.766	26904.8048	31647.8136	-8.7659	0.3	0.0	0.1	0.1	0.3	0.1
C08LL	26907.771	31648.4158	-9.1232	26907.7712	31648.4157	-9.1233	0.2	-0.1	-0.1	0.1	0.2	-0.1
C09LL	26911.1294	31649.0861	-10.1319	26911.1296	31649.0861	-10.1317	0.2	0.0	0.2	0.0	0.2	0.2
C10LL	26914.7728	31649.8241	-9.1611	26914.7728	31649.8241	-9.1611	0.0	0.0	0.0	0.0	0.0	0.0
C11LL	26917.7388	31650.4148	-9.1827	26917.7389	31650.4153	-9.1826	0.1	0.5	0.1	-0.5	0.2	0.1
C12LL	26920.704	31651.008	-9.1703	26920.704	31651.0085	-9.1702	0.0	0.5	0.1	-0.5	0.1	0.1
C13LL	26923.6191	31651.5765	-9.175	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C14LL	26925.8342	31652.042	-9.172	26925.8345	31652.042	-9.1728	0.3	0.0	-0.8	0.1	-0.2	-0.8
C15LL	26927.7049	31652.4136	-9.2007	26927.705	31652.4132	-9.2009	0.1	-0.4	-0.2	-0.4	-0.2	-0.2
C16LL	26931.626	31653.2021	-9.1935	26931.6262	31653.202	-9.1929	0.2	-0.1	0.6	0.1	0.2	0.6
C17LL	26934.5415	31653.7853	-9.1914	26934.5412	31653.7856	-9.1906	-0.3	0.3	0.8	0.3	0.3	0.8
C18LL	26937.3917	31654.3631	-9.192	26937.392	31654.3628	-9.1912	0.3	-0.3	0.8	0.4	0.2	0.8
C19LL	26940.2833	31654.9423	-9.2033	26940.2834	31654.942	-9.2035	0.1	-0.3	-0.2	0.3	0.0	-0.2
C20LL	26944.2727	31655.7458	-9.1622	26944.273	31655.7458	-9.1617	0.3	0.0	0.5	0.1	0.3	0.5
C21LL	26947.2245	31656.3381	-9.2048	26947.2245	31656.3385	-9.2041	0.0	0.4	0.7	-0.4	0.1	0.7
C22LL	26950.1304	31656.9173	-9.1789	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
