Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
C25BL	26959.6518	31656.6634	-10.811	26959.6518	31656.6634	-10.8104	0.0	0.0	0.6	0.0	0.0	0.6
C26BL	26962.361	31656.9787	-10.8035	26962.3611	31656.9791	-10.8028	0.1	0.4	0.7	0.4	0.0	0.7
C27BL	26965.0349	31657.5733	-10.8022	26965.0348	31657.5729	-10.8024	-0.1	-0.4	-0.2	-0.4	0.0	-0.2
C28BL	26967.0698	31658.0068	-10.807	26967.0698	31658.007	-10.8063	0.0	0.2	0.7	0.2	0.1	0.7
C29BL	26970.4396	31658.701	-10.7999	26970.4396	31658.7011	-10.7994	0.0	0.1	0.5	0.1	0.0	0.5
C30BL	26973.119	31659.361	-10.8043	26973.1191	31659.3607	-10.8045	0.1	-0.3	-0.2	0.3	0.0	-0.2
C31BL	26977.0514	31660.2931	-10.8077	26977.0514	31660.2931	-10.8069	0.0	0.0	0.8	0.0	0.0	0.8
C32BL	26979.9464	31660.7268	-10.8062	26979.9463	31660.7265	-10.8054	-0.1	-0.3	0.8	-0.3	0.1	0.8
C33BL	26982.8279	31660.4466	-10.8098	26982.828	31660.4469	-10.8097	0.1	0.3	0.1	-0.3	0.2	0.1
C34BL	26986.2492	31661.3408	-10.8108	26986.2493	31661.3408	-10.8106	0.1	0.0	0.2	0.0	0.1	0.2
C35BL	26988.9496	31661.7742	-10.8075	26988.9497	31661.7743	-10.8068	0.1	0.1	0.7	-0.1	0.1	0.7
C36BL	26991.0397	31662.2321	-10.8127	26991.0399	31662.2323	-10.8124	0.2	0.2	0.3	-0.2	0.2	0.3
C37BL	26993.8422	31662.8233	-10.8069	26993.8423	31662.8235	-10.8065	0.1	0.2	0.4	-0.2	0.1	0.4
C38BL	26997.8572	31662.6235	-10.8401	26997.8573	31662.6238	-10.8395	0.1	0.3	0.6	-0.3	0.2	0.6
C39BL	27001.9662	31663.476	-10.8309	27001.9663	31663.4763	-10.8314	0.1	0.3	-0.5	-0.3	0.2	-0.5
C40BL	27003.9065	31663.9525	-10.8152	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C41BL	27005.9571	31664.4782	-10.8228	27005.9573	31664.4782	-10.8225	0.2	0.0	0.3	0.0	0.2	0.3
C05BR	26898.3718	31643.6463	-10.8006	26898.3719	31643.6463	-10.8005	0.1	0.0	0.1	0.0	0.1	0.1
C06BR	26902.9251	31644.5048	-10.8099	26902.9249	31644.5048	-10.8098	-0.2	0.0	0.1	0.0	-0.2	0.1
C07BR	26905.5546	31645.0289	-10.7982	26905.5546	31645.0288	-10.7982	0.0	-0.1	0.0	0.1	0.0	0.0
C08BR	26908.4322	31645.558	-10.7974	26908.4323	31645.558	-10.7974	0.1	0.0	0.0	0.0	0.1	0.0
C09BR	26911.7123	31646.2467	-10.8051	26911.7122	31646.247	-10.8046	-0.1	0.3	0.5	0.2	0.2	0.5
C10BR	26915.1201	31646.9232	-10.8048	26915.1202	31646.923	-10.8046	0.1	-0.2	0.2	0.2	0.1	0.2
C11BR	26917.7909	31647.455	-10.8109	26917.7908	31647.4549	-10.8103	-0.1	-0.1	0.6	-0.1	0.1	0.6
C12BR	26921.1775	31648.136	-10.8042	26921.1775	31648.136	-10.8044	0.0	0.0	-0.2	0.0	0.0	-0.2
C13BR	26923.9238	31648.6559	-10.8046	26923.9233	31648.6556	-10.8044	-0.5	-0.3	0.2	-0.4	0.4	0.2
C14BR	26926.5765	31649.3243	-10.8066	26926.5764	31649.3245	-10.806	-0.1	0.2	0.6	0.1	0.2	0.6
C15BR	26928.51	31650.5487	-10.8038	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C16BR	26932.9381	31652.1559	-10.8145	26932.9379	31652.1562	-10.8137	-0.2	0.3	0.8	0.3	0.3	0.8
C17BR	26934.7204	31650.9634	-10.8106	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C18BR	26937.4401	31651.4625	-10.8026	26937.4401	31651.4625	-10.8026	0.0	0.0	0.0	0.0	0.0	0.0
C19BR	26940.1436	31652.0691	-10.8055	26940.144	31652.0693	-10.8052	0.4	0.2	0.3	-0.1	0.4	0.3
C20BR	26944.876	31653.001	-10.8088	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C21BR	26947.6327	31653.5584	-10.8099	26947.6326	31653.5581	-10.8102	-0.1	-0.3	-0.3	-0.3	0.1	-0.3
C22BR	26950.9592	31654.2038	-10.8018	26950.9592	31654.2038	-10.8024	0.0	0.0	-0.6	0.0	0.0	-0.6
C23BR	26953.5395	31655.5582	-10.8027	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C24BR	26957.8369	31657.2514	-10.8243	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C25BR	26959.7566	31655.9891	-10.8087	26959.7567	31655.9888	-10.8085	0.1	-0.3	0.2	0.3	0.0	0.2
C26BR	26962.0979	31658.7368	-10.8212	26962.0982	31658.7367	-10.8204	0.3	-0.1	0.8	0.0	-0.3	0.8
C27BR	26964.1738	31658.8553	-10.8396	26964.1739	31658.8554	-10.8388	0.1	0.1	0.8	0.1	-0.1	0.8
C28BR	26966.6146	31658.9953	-10.8243	26966.6145	31658.995	-10.8243	-0.1	-0.3	0.0	-0.3	0.1	0.0
C29BR	26970.8593	31660.3163	-10.8022	26970.8592	31660.3163	-10.8015	-0.1	0.0	0.7	0.0	0.1	0.7
C30BR	26972.9597	31660.223	-10.8084	26972.9597	31660.2233	-10.8087	0.0	0.3	-0.3	0.3	0.1	-0.3
C31BR	26975.5927	31661.2705	-10.8219	26975.5922	31661.271	-10.8219	-0.5	0.5	0.0	0.3	0.6	0.0
C32BR	26979.4748	31661.5495	-10.8213	26979.4747	31661.5498	-10.8208	-0.1	0.3	0.5	0.2	0.2	0.5
C33BR	26982.6578	31661.296	-10.8064	26982.6577	31661.2961	-10.8057	-0.1	0.1	0.7	0.1	0.1	0.7
C34BR	26986.0837	31661.9414	-10.8121	26986.0837	31661.9413	-10.8114	0.0	-0.1	0.7	-0.1	0.0	0.7
C35BR	26988.773	31662.4723	-10.8103	26988.773	31662.4727	-10.8099	0.0	0.4	0.4	-0.4	0.1	0.4
C36BR	26990.7575	31662.8838	-10.8128	26990.7575	31662.8841	-10.812	0.0	0.3	0.8	-0.3	0.1	0.8
C37BR	26993.4414	31663.4534	-10.8099	26993.4415	31663.4536	-10.8098	0.1	0.2	0.1	-0.2	0.1	0.1
C38BR	26997.5196	31664.1831	-10.8073	26997.5198	31664.1832	-10.807	0.2	0.1	0.3	-0.1	0.2	0.3
C39BR	27001.6427	31665.0476	-10.8101	27001.6429	31665.0478	-10.8095	0.2	0.2	0.6	-0.2	0.2	0.6
C40BR	27003.5119	31665.3576	-10.8045	27003.5118	31665.3576	-10.8037	-0.1	0.0	0.8	0.0	0.1	0.8
C41BR	27005.6321	31665.8488	-10.8093	27005.6322	31665.849	-10.8086	0.1	0.2	0.7	-0.2	0.1	0.7
C05LL	26897.0715	31646.2558	-9.2509	26897.0716	31646.2559	-9.2507	0.1	0.1	0.2	-0.1	0.1	0.2
C06LL	26902.7541	31647.3988	-9.9092	26902.7541	31647.3988	-9.909	0.0	0.0	0.2	0.0	0.0	0.2
C07LL	26904.8045	31647.8136	-8.766	26904.8048	31647.8136	-8.7659	0.3	0.0	0.1	0.1	0.3	0.1
C08LL	26907.771	31648.4158	-9.1232	26907.7713	31648.4157	-9.1232	0.3	-0.1	0.0	0.2	0.3	0.0
C09LL	26911.1294	31649.0861	-10.1319	26911.1296	31649.086	-10.1317	0.2	-0.1	0.2	0.1	0.2	0.2
C10LL	26914.7728	31649.8241	-9.1611	26914.7728	31649.8242	-9.1611	0.0	0.1	0.0	-0.1	0.0	0.0
C11LL	26917.7388	31650.4148	-9.1827	26917.7389	31650.4151	-9.1825	0.1	0.3	0.2	-0.3	0.2	0.2
C12LL	26920.704	31651.008	-9.1703	26920.704	31651.0085	-9.1703	0.0	0.5	0.0	-0.5	0.1	0.0
C13LL	26923.6191	31651.5765	-9.175	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C14LL	26925.8342	31652.042	-9.172	26925.8345	31652.042	-9.1728	0.3	0.0	-0.8	0.1	-0.3	-0.8
C15LL	26927.7049	31652.4136	-9.2007	26927.705	31652.4132	-9.2008	0.1	-0.4	-0.1	-0.4	-0.2	-0.1
C16LL	26931.626	31653.2021	-9.1935	26931.6263	31653.202	-9.1927	0.3	-0.1	0.8	0.2	0.3	0.8
