Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
STN1	26868.2687	31635.0518	-8.878	26868.2688	31635.0518	-8.878	0.1	0.0	0.0	0.1	0.0	0.0
STN2	27037.6213	31669.072	-8.959	27037.6212	31669.072	-8.959	-0.1	0.0	0.0	-0.1	0.0	0.0
CRF01	26845.4058	31636.5556	-10.0895	26845.4057	31636.5556	-10.0895	-0.1	0.0	0.0	-0.1	0.0	0.0
CRF02	26847.446	31634.4442	-11.5698	26847.4461	31634.4442	-11.5698	0.1	0.0	0.0	0.1	0.0	0.0
CRF03	26846.2894	31630.9438	-9.8532	26846.2893	31630.9438	-9.8532	-0.1	0.0	0.0	-0.1	0.0	0.0
CRF04	26855.2949	31638.173	-9.8857	26855.2949	31638.173	-9.8858	0.0	0.0	-0.1	0.0	0.0	-0.1
CRF05	26855.5929	31635.8056	-11.3236	26855.593	31635.8056	-11.3236	0.1	0.0	0.0	0.1	0.0	0.0
CRF06	26856.2488	31632.5706	-9.5755	26856.2488	31632.5706	-9.5755	0.0	0.0	0.0	0.0	0.0	0.0
CRF07	26864.9019	31639.9274	-9.3856	26864.9019	31639.9274	-9.3856	0.0	0.0	0.0	0.0	0.0	0.0
CRF08	26865.3643	31637.7094	-11.1167	26865.3643	31637.7094	-11.1167	0.0	0.0	0.0	0.0	0.0	0.0
CRF09	26865.5308	31634.2505	-9.6349	26865.5308	31634.2504	-9.6349	0.0	-0.1	0.0	0.0	-0.1	0.0
CRF10	27049.5941	31671.3752	-9.1375	27049.5941	31671.3752	-9.1375	0.0	0.0	0.0	0.0	0.0	0.0
CRF11	27049.0712	31674.3339	-10.8947	27049.0712	31674.3339	-10.8946	0.0	0.0	0.1	0.0	0.0	0.1
CRF12	27048.5497	31676.7425	-9.4658	27048.5497	31676.7425	-9.4659	0.0	0.0	-0.1	0.0	0.0	-0.1
CRF13	27060.4401	31673.4164	-8.9616	27060.44	31673.4164	-8.9618	-0.1	0.0	-0.2	-0.1	0.0	-0.2
CRF14	27059.3013	31676.4476	-10.9465	27059.3014	31676.4476	-10.9465	0.1	0.0	0.0	0.1	0.0	0.0
CRF15	27058.3388	31678.7628	-9.4985	27058.3388	31678.7628	-9.4984	0.0	0.0	0.1	0.0	0.0	0.1
CRF16	27071.6482	31675.9197	-9.021	27071.6482	31675.9198	-9.0209	0.0	0.1	0.1	0.0	0.1	0.1
CRF17	27071.0718	31679.0146	-11.0037	27071.0718	31679.0146	-11.0037	0.0	0.0	0.0	0.0	0.0	0.0
CRF18	27070.1487	31681.3905	-9.5374	27070.1487	31681.3905	-9.5373	0.0	0.0	0.1	0.0	0.0	0.1
C01L	26880.0398	31642.8491	-9.4707	26880.0399	31642.8492	-9.4706	0.1	0.1	0.1	-0.1	0.1	0.1
C02L	26884.8677	31643.8234	-9.3463	26884.8678	31643.8236	-9.3463	0.1	0.2	0.0	-0.2	0.1	0.0
C03L	26890.3761	31644.9535	-9.2263	26890.376	31644.9535	-9.2263	-0.1	0.0	0.0	0.0	-0.1	0.0
C04L	26894.4949	31645.7996	-9.2688	26894.4948	31645.7997	-9.2686	-0.1	0.1	0.2	-0.1	-0.1	0.2
C42L	27010.564	31663.2685	-8.9126	27010.564	31663.2684	-8.9125	0.0	-0.1	0.1	0.1	0.0	0.1
C43L	27015.6558	31664.3653	-8.6283	27015.6558	31664.3654	-8.6278	0.0	0.1	0.5	-0.1	0.0	0.5
C44L	27021.2276	31665.468	-8.8686	27021.2275	31665.4679	-8.8683	-0.1	-0.1	0.3	0.1	-0.1	0.3
C45L	27025.8033	31666.4269	-8.5951	27025.8033	31666.427	-8.595	0.0	0.1	0.1	-0.1	0.0	0.1
C46L	27030.1407	31667.2818	-8.7782	27030.1407	31667.282	-8.778	0.0	0.2	0.2	-0.2	0.0	0.2
C01B	26880.3996	31640.707	-10.8773	26880.3996	31640.7069	-10.8773	0.0	-0.1	0.0	0.1	0.0	0.0
C02B	26885.8885	31641.7285	-10.8305	26885.8888	31641.7285	-10.8304	0.3	0.0	0.1	0.1	0.3	0.1
C03B	26890.6024	31642.7001	-10.8026	26890.6026	31642.7001	-10.8024	0.2	0.0	0.2	0.0	0.2	0.2
C04B	26895.3209	31643.6053	-10.805	26895.3211	31643.6053	-10.8048	0.2	0.0	0.2	0.0	0.2	0.2
C42B	27009.0879	31666.5886	-10.8086	27009.088	31666.5889	-10.8083	0.1	0.3	0.3	-0.3	0.2	0.3
C43B	27015.3574	31667.6246	-10.8009	27015.3574	31667.6249	-10.8004	0.0	0.3	0.5	-0.3	0.1	0.5
C44B	27020.604	31668.7854	-10.8109	27020.604	31668.7856	-10.8106	0.0	0.2	0.3	-0.2	0.0	0.3
C45B	27025.3733	31669.5611	-10.8123	27025.3735	31669.5611	-10.8121	0.2	0.0	0.2	0.0	0.2	0.2
C46B	27029.8398	31670.425	-10.8119	27029.8398	31670.425	-10.8117	0.0	0.0	0.2	0.0	0.0	0.2
C01C	26880.0642	31642.6564	-8.101	26880.0644	31642.6564	-8.1011	0.2	0.0	-0.1	0.0	0.2	-0.1
C02C	26884.7964	31643.5917	-8.0314	26884.7966	31643.5918	-8.0314	0.2	0.1	0.0	-0.1	0.2	0.0
C03C	26890.3312	31644.7426	-8.0705	26890.3313	31644.7427	-8.0705	0.1	0.1	0.0	-0.1	0.1	0.0
C04C	26894.3871	31645.5831	-8.0707	26894.3873	31645.5832	-8.0707	0.2	0.1	0.0	-0.1	0.2	0.0
C42C	27008.8009	31668.5987	-8.1419	27008.8009	31668.5986	-8.1416	0.0	-0.1	0.3	0.1	0.0	0.3
C43C	27014.5233	31669.7143	-8.0663	27014.5233	31669.7143	-8.0658	0.0	0.0	0.5	0.0	0.0	0.5
C44C	27020.4631	31670.9265	-8.1249	27020.4632	31670.9266	-8.1246	0.1	0.1	0.3	-0.1	0.1	0.3
C45C	27024.8529	31671.8349	-8.154	27024.8529	31671.835	-8.154	0.0	0.1	0.0	-0.1	0.0	0.0
C46C	27029.7015	31672.7799	-8.0389	27029.7016	31672.7799	-8.0388	0.1	0.0	0.1	0.0	0.1	0.1
C01R	26881.1379	31637.5318	-8.602	26881.1383	31637.5317	-8.602	0.4	-0.1	0.0	0.2	0.4	0.0
C02R	26886.1924	31638.516	-8.681	26886.1927	31638.5159	-8.6804	0.3	-0.1	0.6	0.2	0.3	0.6
C03R	26891.1979	31639.4777	-8.546	26891.1982	31639.4777	-8.5459	0.3	0.0	0.1	0.1	0.3	0.1
C04R	26895.7472	31640.3748	-9.2385	26895.7475	31640.375	-9.2385	0.3	0.2	0.0	-0.1	0.3	0.0
C42R	27009.022	31668.7996	-9.2984	27009.022	31668.7996	-9.2986	0.0	0.0	-0.2	0.0	0.0	-0.2
C43R	27014.7284	31669.9497	-9.2581	27014.7285	31669.9496	-9.2575	0.1	-0.1	0.6	0.1	0.1	0.6
C44R	27020.5836	31671.1144	-9.4231	27020.5836	31671.1143	-9.423	0.0	-0.1	0.1	0.1	0.0	0.1
C45R	27024.8999	31671.9969	-9.434	27024.8999	31671.9968	-9.4337	0.0	-0.1	0.3	0.1	0.0	0.3
C46R	27029.4754	31672.9249	-9.4137	27029.4754	31672.925	-9.4135	0.0	0.1	0.2	-0.1	0.0	0.2
C05BL	26898.2251	31644.1795	-10.7986	26898.2253	31644.1798	-10.7985	0.2	0.3	0.1	-0.3	0.3	0.1
C06BL	26902.7875	31645.2166	-10.8061	26902.7874	31645.2169	-10.8061	-0.1	0.3	0.0	-0.3	0.0	0.0
C07BL	26905.4431	31645.7412	-10.7985	26905.4432	31645.7415	-10.7984	0.1	0.3	0.1	-0.3	0.2	0.1
C08BL	26908.0499	31647.1485	-10.82	26908.0501	31647.1486	-10.8208	0.2	0.1	-0.8	-0.1	0.2	-0.8
C09BL	26911.5594	31647.0422	-10.804	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C10BL	26914.9674	31647.7074	-10.8096	26914.9671	31647.7071	-10.809	-0.3	-0.3	0.6	-0.4	0.2	0.6
C11BL	26917.6389	31648.2717	-10.8134	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C12BL	26921.065	31648.9006	-10.8085	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C13BL	26923.7715	31649.446	-10.8022	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C14BL	26926.4619	31650.0396	-10.8089	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C15BL	26928.4068	31651.2577	-10.812	26928.4068	31651.2579	-10.8119	0.0	0.2	0.1	-0.2	0.0	0.1
C16BL	26930.7642	31652.6516	-10.8097	26930.7642	31652.6518	-10.8094	0.0	0.2	0.3	-0.2	0.0	0.3
C17BL	26934.6157	31651.6321	-10.8109	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C18BL	26937.3169	31652.2044	-10.8004	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C19BL	26940.0467	31652.7153	-10.81	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C20BL	26944.7649	31653.6448	-10.8105	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C21BL	26947.5188	31654.2143	-10.8128	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C22BL	26950.8682	31654.8267	-10.8042	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C23BL	26953.4109	31656.307	-10.8085	26953.4109	31656.3069	-10.808	0.0	-0.1	0.5	0.1	0.0	0.5
C24BL	26955.8395	31657.5292	-10.8118	26955.8396	31657.5291	-10.811	0.1	-0.1	0.8	-0.1	-0.1	0.8
C25BL	26959.6518	31656.6634	-10.811	26959.6518	31656.6637	-10.8104	0.0	0.3	0.6	-0.3	0.1	0.6
C26BL	26962.361	31656.9787	-10.8035	26962.3608	31656.9783	-10.8028	-0.2	-0.4	0.7	-0.4	0.1	0.7
C27BL	26965.0349	31657.5733	-10.8022	26965.0349	31657.5735	-10.8015	0.0	0.2	0.7	0.2	0.1	0.7
C28BL	26967.0698	31658.0068	-10.807	26967.0696	31658.0064	-10.8062	-0.2	-0.4	0.8	-0.4	0.1	0.8
C29BL	26970.4396	31658.701	-10.7999	26970.4396	31658.7007	-10.7991	0.0	-0.3	0.8	-0.3	0.0	0.8
C30BL	26973.119	31659.361	-10.8043	26973.119	31659.3608	-10.8043	0.0	-0.2	0.0	-0.2	-0.1	0.0
C31BL	26977.0514	31660.2931	-10.8077	26977.0513	31660.2933	-10.8074	-0.1	0.2	0.3	-0.2	-0.1	0.3
C32BL	26979.9464	31660.7268	-10.8062	26979.9464	31660.7268	-10.8053	0.0	0.0	0.9	0.0	0.0	0.9
C33BL	26982.8279	31660.4466	-10.8098	26982.8278	31660.4462	-10.8093	-0.1	-0.4	0.5	-0.4	0.0	0.5
C34BL	26986.2492	31661.3408	-10.8108	26986.2492	31661.3408	-10.8105	0.0	0.0	0.3	0.0	0.0	0.3
C35BL	26988.9496	31661.7742	-10.8075	26988.9494	31661.7739	-10.8068	-0.2	-0.3	0.7	-0.3	0.1	0.7
C36BL	26991.0397	31662.2321	-10.8127	26991.0396	31662.2321	-10.8121	-0.1	0.0	0.6	0.0	0.1	0.6
C37BL	26993.8422	31662.8233	-10.8069	26993.842	31662.823	-10.8063	-0.2	-0.3	0.6	-0.3	0.1	0.6
C38BL	26997.8572	31662.6235	-10.8401	26997.8572	31662.6235	-10.8396	0.0	0.0	0.5	0.0	0.0	0.5
C39BL	27001.9662	31663.476	-10.8309	27001.9662	31663.4762	-10.8304	0.0	0.2	0.5	-0.2	0.0	0.5
C40BL	27003.9065	31663.9525	-10.8152	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C41BL	27005.9571	31664.4782	-10.8228	27005.9571	31664.4786	-10.8225	0.0	0.4	0.3	-0.4	0.1	0.3
C05BR	26898.3718	31643.6463	-10.8006	26898.3719	31643.6463	-10.8006	0.1	0.0	0.0	0.0	0.1	0.0
C06BR	26902.9251	31644.5048	-10.8099	26902.9249	31644.5049	-10.8099	-0.2	0.1	0.0	-0.1	-0.2	0.0
C07BR	26905.5546	31645.0289	-10.7982	26905.5547	31645.0289	-10.7983	0.1	0.0	-0.1	0.0	0.1	-0.1
C08BR	26908.4322	31645.558	-10.7974	26908.4322	31645.5581	-10.7974	0.0	0.1	0.0	-0.1	0.0	0.0
C09BR	26911.7123	31646.2467	-10.8051	26911.7122	31646.2469	-10.8046	-0.1	0.2	0.5	0.1	0.2	0.5
C10BR	26915.1201	31646.9232	-10.8048	26915.1203	31646.9232	-10.8046	0.2	0.0	0.2	0.0	0.2	0.2
C11BR	26917.7909	31647.455	-10.8109	26917.791	31647.4552	-10.81	0.1	0.2	0.9	-0.2	0.1	0.9
C12BR	26921.1775	31648.136	-10.8042	26921.1773	31648.1362	-10.8043	-0.2	0.2	-0.1	-0.2	-0.2	-0.1
C13BR	26923.9238	31648.6559	-10.8046	26923.9234	31648.6556	-10.8045	-0.4	-0.3	0.1	-0.4	0.3	0.1
C14BR	26926.5765	31649.3243	-10.8066	26926.5763	31649.3243	-10.8061	-0.2	0.0	0.5	-0.1	0.2	0.5
C15BR	26928.51	31650.5487	-10.8038	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C16BR	26932.9381	31652.1559	-10.8145	26932.9379	31652.1561	-10.8137	-0.2	0.2	0.8	0.2	0.3	0.8
C17BR	26934.7204	31650.9634	-10.8106	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
C18BR	26937.4401	31651.4625	-10.8026	26937.4401	31651.4627	-10.8025	0.0	0.2	0.1	-0.2	0.0	0.1
