Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
XYZ1100001	29080.5043	40750.0594	11.6168	29080.5046	40750.0604	11.6155	0.3	1.0	-1.3	-0.1	1.0	-1.3
XYZ1100002	29080.6155	40752.3042	11.6077	29080.6152	40752.3052	11.6067	-0.3	1.0	-1.0	0.1	1.0	-1.0
XYZ1100003	29084.4929	40751.8797	11.6231	29084.4923	40751.8804	11.6222	-0.6	0.7	-0.9	-0.3	0.9	-0.9
XYZ1100004	29085.983	40752.3691	11.627	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100005	29078.8015	40754.5195	11.6263	29078.8009	40754.5204	11.6252	-0.6	0.9	-1.1	-0.2	1.1	-1.1
XYZ1100006	29080.1096	40754.9461	11.6265	29080.1089	40754.9468	11.6255	-0.7	0.7	-1.0	-0.4	0.9	-1.0
XYZ1100007	29082.7952	40755.8736	11.637	29082.7951	40755.8742	11.6362	-0.1	0.6	-0.8	0.1	0.6	-0.8
XYZ1100008	29084.0905	40756.7434	11.6326	29084.0898	40756.7439	11.6317	-0.7	0.5	-0.9	-0.5	0.7	-0.9
XYZ1100009	29077.3539	40759.3466	11.6765	29077.3529	40759.3479	11.6754	-1.0	1.3	-1.1	-0.4	1.6	-1.1
XYZ1100010	29078.4368	40759.5713	11.683	29078.4359	40759.5727	11.6819	-0.9	1.4	-1.1	-0.3	1.6	-1.1
XYZ1100011	29080.8955	40760.6536	11.6882	29080.8951	40760.6542	11.6872	-0.4	0.6	-1.0	-0.2	0.7	-1.0
XYZ1100012	29082.3088	40761.659	11.6851	29082.3084	40761.6595	11.6836	-0.4	0.5	-1.5	-0.2	0.6	-1.5
XYZ1100013	29074.636	40764.6279	11.7067	29074.635	40764.6289	11.7058	-1.0	1.0	-0.9	-0.6	1.3	-0.9
XYZ1100014	29076.4213	40764.8108	11.7145	29076.4203	40764.8111	11.7138	-1.0	0.3	-0.7	-0.8	0.6	-0.7
XYZ1100015	29078.8965	40765.9767	11.716	29078.8961	40765.9764	11.7153	-0.4	-0.3	-0.7	-0.5	-0.1	-0.7
XYZ1100016	29080.3575	40766.3041	11.7141	29080.3569	40766.3049	11.7132	-0.6	0.8	-0.9	-0.3	1.0	-0.9
XYZ1100017	29073.0377	40768.6895	11.7156	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100018	29074.3498	40769.2219	11.7171	29074.349	40769.2228	11.7154	-0.8	0.9	-1.7	-0.4	1.1	-1.7
XYZ1100019	29077.1884	40769.7648	11.7263	29077.188	40769.7649	11.7256	-0.4	0.1	-0.7	-0.3	0.2	-0.7
XYZ1100020	29078.7106	40770.3083	11.7243	29078.71	40770.3084	11.7235	-0.6	0.1	-0.8	-0.5	0.3	-0.8
XYZ1100021	29071.1576	40773.1665	11.6956	29071.1569	40773.1672	11.6957	-0.7	0.7	0.1	-0.4	0.9	0.1
XYZ1100022	29071.7537	40774.3152	11.6923	29071.7528	40774.3158	11.6923	-0.9	0.6	0.0	-0.6	0.9	0.0
XYZ1100023	29075.2974	40774.5815	11.7083	29075.2964	40774.5821	11.7081	-1.0	0.6	-0.2	-0.7	0.9	-0.2
XYZ1100024	29076.9453	40775.051	11.7057	29076.9443	40775.0519	11.7058	-1.0	0.9	0.1	-0.6	1.2	0.1
XYZ1100025	29069.506	40777.7886	11.7144	29069.5048	40777.7883	11.7153	-1.2	-0.3	0.9	-1.2	0.2	0.9
XYZ1100026	29070.8663	40778.2035	11.7182	29070.8657	40778.204	11.7183	-0.6	0.5	0.1	-0.4	0.7	0.1
XYZ1100027	29073.4553	40779.2125	11.7212	29073.4549	40779.213	11.7213	-0.4	0.5	0.1	-0.2	0.6	0.1
XYZ1100028	29074.9261	40779.8015	11.716	29074.9267	40779.8015	11.7154	0.6	0.0	-0.6	0.6	-0.2	-0.6
XYZ1100029	29067.7316	40781.9012	11.7665	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100030	29069.2249	40782.6209	11.7747	29069.2246	40782.6214	11.7748	-0.3	0.5	0.1	-0.1	0.6	0.1
XYZ1100031	29071.7273	40783.5252	11.773	29071.7271	40783.5259	11.7728	-0.2	0.7	-0.2	0.1	0.7	-0.2
XYZ1100032	29073.2326	40783.9093	11.7596	29073.2325	40783.91	11.7595	-0.1	0.7	-0.1	0.2	0.7	-0.1
XYZ1100033	29065.3058	40788.2388	11.7992	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100034	29066.7132	40788.9133	11.8147	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100035	29069.1766	40790.1906	11.8052	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100036	29070.7089	40790.3753	11.7932	29070.7087	40790.376	11.7931	-0.2	0.7	-0.1	0.1	0.7	-0.1
XYZ1100037	29064.2078	40791.7595	11.8022	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
