Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
XYZ1100001	29080.5043	40750.0594	11.6168	29080.5046	40750.0596	11.6162	0.3	0.2	-0.6	0.2	0.3	-0.6
XYZ1100002	29080.6155	40752.3042	11.6077	29080.6151	40752.3049	11.6068	-0.4	0.7	-0.9	-0.1	0.8	-0.9
XYZ1100003	29084.4929	40751.8797	11.6231	29084.4918	40751.8801	11.6223	-1.1	0.4	-0.8	-0.9	0.8	-0.8
XYZ1100004	29085.983	40752.3691	11.627	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100005	29078.8015	40754.5195	11.6263	29078.8008	40754.5201	11.6252	-0.7	0.6	-1.1	-0.4	0.8	-1.1
XYZ1100006	29080.1096	40754.9461	11.6265	29080.1089	40754.9467	11.6254	-0.7	0.6	-1.1	-0.4	0.8	-1.1
XYZ1100007	29082.7952	40755.8736	11.637	29082.7951	40755.874	11.6363	-0.1	0.4	-0.7	0.1	0.4	-0.7
XYZ1100008	29084.0905	40756.7434	11.6326	29084.0898	40756.7438	11.632	-0.7	0.4	-0.6	-0.5	0.6	-0.6
XYZ1100009	29077.3539	40759.3466	11.6765	29077.353	40759.3477	11.6756	-0.9	1.1	-0.9	-0.4	1.4	-0.9
XYZ1100010	29078.4368	40759.5713	11.683	29078.4359	40759.5725	11.6824	-0.9	1.2	-0.6	-0.4	1.4	-0.6
XYZ1100011	29080.8955	40760.6536	11.6882	29080.895	40760.6539	11.6875	-0.5	0.3	-0.7	-0.4	0.5	-0.7
XYZ1100012	29082.3088	40761.659	11.6851	29082.3081	40761.6593	11.6847	-0.7	0.3	-0.4	-0.5	0.5	-0.4
XYZ1100013	29074.636	40764.6279	11.7067	29074.6355	40764.6285	11.7062	-0.5	0.6	-0.5	-0.2	0.7	-0.5
XYZ1100014	29076.4213	40764.8108	11.7145	29076.4203	40764.811	11.714	-1.0	0.2	-0.5	-0.9	0.6	-0.5
XYZ1100015	29078.8965	40765.9767	11.716	29078.8963	40765.9763	11.7156	-0.2	-0.4	-0.4	-0.3	-0.3	-0.4
XYZ1100016	29080.3575	40766.3041	11.7141	29080.3566	40766.3048	11.7137	-0.9	0.7	-0.4	-0.6	1.0	-0.4
XYZ1100017	29073.0377	40768.6895	11.7156	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100018	29074.3498	40769.2219	11.7171	29074.3495	40769.2228	11.7167	-0.3	0.9	-0.4	0.1	0.9	-0.4
XYZ1100019	29077.1884	40769.7648	11.7263	29077.1881	40769.7646	11.7259	-0.3	-0.2	-0.4	-0.4	-0.1	-0.4
XYZ1100020	29078.7106	40770.3083	11.7243	29078.71	40770.3081	11.7238	-0.6	-0.2	-0.5	-0.6	0.0	-0.5
XYZ1100021	29071.1576	40773.1665	11.6956	29071.1571	40773.1669	11.6957	-0.5	0.4	0.1	-0.3	0.6	0.1
XYZ1100022	29071.7537	40774.3152	11.6923	29071.7527	40774.3156	11.6922	-1.0	0.4	-0.1	-0.8	0.7	-0.1
XYZ1100023	29075.2974	40774.5815	11.7083	29075.2965	40774.5818	11.7079	-0.9	0.3	-0.4	-0.7	0.6	-0.4
XYZ1100024	29076.9453	40775.051	11.7057	29076.9445	40775.0515	11.7056	-0.8	0.5	-0.1	-0.6	0.8	-0.1
XYZ1100025	29069.506	40777.7886	11.7144	29069.5049	40777.7884	11.7152	-1.1	-0.2	0.8	-1.1	0.2	0.8
XYZ1100026	29070.8663	40778.2035	11.7182	29070.866	40778.204	11.7183	-0.3	0.5	0.1	-0.1	0.6	0.1
XYZ1100027	29073.4553	40779.2125	11.7212	29073.4549	40779.213	11.7212	-0.4	0.5	0.0	-0.2	0.6	0.0
XYZ1100028	29074.9261	40779.8015	11.716	29074.9264	40779.8013	11.7158	0.3	-0.2	-0.2	0.2	-0.3	-0.2
XYZ1100029	29067.7316	40781.9012	11.7665	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100030	29069.2249	40782.6209	11.7747	29069.2247	40782.6211	11.7749	-0.2	0.2	0.2	-0.1	0.3	0.2
XYZ1100031	29071.7273	40783.5252	11.773	29071.7271	40783.5258	11.7728	-0.2	0.6	-0.2	0.0	0.6	-0.2
XYZ1100032	29073.2326	40783.9093	11.7596	29073.2324	40783.9099	11.7595	-0.2	0.6	-0.1	0.0	0.6	-0.1
XYZ1100033	29065.3058	40788.2388	11.7992	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100034	29066.7132	40788.9133	11.8147	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100035	29069.1766	40790.1906	11.8052	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100036	29070.7089	40790.3753	11.7932	29070.709	40790.376	11.7931	0.1	0.7	-0.1	0.4	0.6	-0.1
XYZ1100037	29064.2078	40791.7595	11.8022	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100038	29065.6093	40791.6393	11.8134	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100039	29067.5012	40794.1343	11.8101	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100040	29069.1342	40794.1694	11.8005	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100041	29061.0127	40799.0845	11.7817	29061.0133	40799.0851	11.7816	0.6	0.6	-0.1	0.8	0.3	-0.1
XYZ1100042	29062.353	40800.2108	11.7933	29062.3527	40800.2101	11.7929	-0.3	-0.7	-0.4	-0.5	-0.5	-0.4
XYZ1100043	29065.2324	40800.2768	11.7868	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100044	29066.7589	40800.7642	11.7838	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100045	29060.2342	40800.8953	11.8004	29060.2342	40800.8955	11.8002	0.0	0.2	-0.2	0.1	0.2	-0.2
XYZ1100046	29061.7088	40801.329	11.8127	29061.7094	40801.3297	11.8125	0.6	0.7	-0.2	0.8	0.4	-0.2
