Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
XYZ1100001	29080.5043	40750.0594	11.6168	29080.5049	40750.0603	11.6163	0.6	0.9	-0.5	0.2	1.0	-0.5
XYZ1100002	29080.6155	40752.3042	11.6077	29080.6152	40752.3049	11.6069	-0.3	0.7	-0.8	0.0	0.8	-0.8
XYZ1100003	29084.4929	40751.8797	11.6231	29084.4923	40751.8801	11.6219	-0.6	0.4	-1.2	-0.4	0.6	-1.2
XYZ1100004	29085.983	40752.3691	11.627	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100005	29078.8015	40754.5195	11.6263	29078.8009	40754.5202	11.6256	-0.6	0.7	-0.7	-0.3	0.9	-0.7
XYZ1100006	29080.1096	40754.9461	11.6265	29080.1086	40754.9466	11.6251	-1.0	0.5	-1.4	-0.7	0.8	-1.4
XYZ1100007	29082.7952	40755.8736	11.637	29082.7948	40755.8741	11.6362	-0.4	0.5	-0.8	-0.2	0.6	-0.8
XYZ1100008	29084.0905	40756.7434	11.6326	29084.0898	40756.7439	11.6319	-0.7	0.5	-0.7	-0.5	0.7	-0.7
XYZ1100009	29077.3539	40759.3466	11.6765	29077.353	40759.3475	11.6759	-0.9	0.9	-0.6	-0.5	1.2	-0.6
XYZ1100010	29078.4368	40759.5713	11.683	29078.4359	40759.5724	11.6822	-0.9	1.1	-0.8	-0.4	1.4	-0.8
XYZ1100011	29080.8955	40760.6536	11.6882	29080.8947	40760.6539	11.6875	-0.8	0.3	-0.7	-0.6	0.6	-0.7
XYZ1100012	29082.3088	40761.659	11.6851	29082.3081	40761.6595	11.6848	-0.7	0.5	-0.3	-0.5	0.7	-0.3
XYZ1100013	29074.636	40764.6279	11.7067	29074.6353	40764.6286	11.7065	-0.7	0.7	-0.2	-0.4	0.9	-0.2
XYZ1100014	29076.4213	40764.8108	11.7145	29076.4204	40764.8108	11.7141	-0.9	0.0	-0.4	-0.8	0.3	-0.4
XYZ1100015	29078.8965	40765.9767	11.716	29078.896	40765.9764	11.7156	-0.5	-0.3	-0.4	-0.6	-0.1	-0.4
XYZ1100016	29080.3575	40766.3041	11.7141	29080.3569	40766.3046	11.7135	-0.6	0.5	-0.6	-0.4	0.7	-0.6
XYZ1100017	29073.0377	40768.6895	11.7156	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100018	29074.3498	40769.2219	11.7171	29074.3496	40769.2225	11.7168	-0.2	0.6	-0.3	0.0	0.6	-0.3
XYZ1100019	29077.1884	40769.7648	11.7263	29077.1879	40769.7647	11.7259	-0.5	-0.1	-0.4	-0.5	0.1	-0.4
XYZ1100020	29078.7106	40770.3083	11.7243	29078.7099	40770.3081	11.7237	-0.7	-0.2	-0.6	-0.7	0.1	-0.6
XYZ1100021	29071.1576	40773.1665	11.6956	29071.1568	40773.1668	11.6952	-0.8	0.3	-0.4	-0.6	0.6	-0.4
XYZ1100022	29071.7537	40774.3152	11.6923	29071.7529	40774.3155	11.6922	-0.8	0.3	-0.1	-0.6	0.6	-0.1
XYZ1100023	29075.2974	40774.5815	11.7083	29075.2965	40774.5818	11.708	-0.9	0.3	-0.3	-0.7	0.6	-0.3
XYZ1100024	29076.9453	40775.051	11.7057	29076.9444	40775.0516	11.7056	-0.9	0.6	-0.1	-0.6	0.9	-0.1
XYZ1100025	29069.506	40777.7886	11.7144	29069.5051	40777.7882	11.7153	-0.9	-0.4	0.9	-1.0	0.0	0.9
XYZ1100026	29070.8663	40778.2035	11.7182	29070.8658	40778.2038	11.7184	-0.5	0.3	0.2	-0.4	0.5	0.2
XYZ1100027	29073.4553	40779.2125	11.7212	29073.4548	40779.2131	11.7213	-0.5	0.6	0.1	-0.2	0.7	0.1
XYZ1100028	29074.9261	40779.8015	11.716	29074.9264	40779.8014	11.7157	0.3	-0.1	-0.3	0.2	-0.2	-0.3
