Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
XYZ1100001	29080.5043	40750.0594	11.6168	29080.5047	40750.0601	11.6157	0.4	0.7	-1.1	0.1	0.8	-1.1
XYZ1100002	29080.6155	40752.3042	11.6077	29080.6153	40752.3053	11.607	-0.2	1.1	-0.7	0.2	1.1	-0.7
XYZ1100003	29084.4929	40751.8797	11.6231	29084.4921	40751.8804	11.6221	-0.8	0.7	-1.0	-0.5	0.9	-1.0
XYZ1100004	29085.983	40752.3691	11.627	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100005	29078.8015	40754.5195	11.6263	29078.8005	40754.5204	11.6254	-1.0	0.9	-0.9	-0.6	1.2	-0.9
XYZ1100006	29080.1096	40754.9461	11.6265	29080.1088	40754.9469	11.6254	-0.8	0.8	-1.1	-0.4	1.0	-1.1
XYZ1100007	29082.7952	40755.8736	11.637	29082.7948	40755.8744	11.6362	-0.4	0.8	-0.8	-0.1	0.9	-0.8
XYZ1100008	29084.0905	40756.7434	11.6326	29084.0897	40756.7442	11.6318	-0.8	0.8	-0.8	-0.4	1.0	-0.8
XYZ1100009	29077.3539	40759.3466	11.6765	29077.3529	40759.348	11.6758	-1.0	1.4	-0.7	-0.4	1.7	-0.7
XYZ1100010	29078.4368	40759.5713	11.683	29078.4363	40759.5725	11.6813	-0.5	1.2	-1.7	-0.9	0.9	-1.7
XYZ1100011	29080.8955	40760.6536	11.6882	29080.8949	40760.6543	11.6871	-0.6	0.7	-1.1	-0.3	0.9	-1.1
XYZ1100012	29082.3088	40761.659	11.6851	29082.3078	40761.6598	11.6847	-1.0	0.8	-0.4	-0.6	1.1	-0.4
XYZ1100013	29074.636	40764.6279	11.7067	29074.6353	40764.6288	11.7059	-0.7	0.9	-0.8	-0.3	1.1	-0.8
XYZ1100014	29076.4213	40764.8108	11.7145	29076.4205	40764.8111	11.7138	-0.8	0.3	-0.7	-0.6	0.6	-0.7
XYZ1100015	29078.8965	40765.9767	11.716	29078.8961	40765.9765	11.7155	-0.4	-0.2	-0.5	-0.4	0.0	-0.5
XYZ1100016	29080.3575	40766.3041	11.7141	29080.3566	40766.3049	11.7135	-0.9	0.8	-0.6	-0.5	1.1	-0.6
XYZ1100017	29073.0377	40768.6895	11.7156	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100018	29074.3498	40769.2219	11.7171	29074.3493	40769.2228	11.7168	-0.5	0.9	-0.3	-0.1	1.0	-0.3
XYZ1100019	29077.1884	40769.7648	11.7263	29077.188	40769.765	11.7259	-0.4	0.2	-0.4	-0.3	0.3	-0.4
XYZ1100020	29078.7106	40770.3083	11.7243	29078.7099	40770.3084	11.7239	-0.7	0.1	-0.4	-0.6	0.4	-0.4
XYZ1100021	29071.1576	40773.1665	11.6956	29071.157	40773.1671	11.6954	-0.6	0.6	-0.2	-0.3	0.8	-0.2
XYZ1100022	29071.7537	40774.3152	11.6923	29071.7526	40774.3158	11.6919	-1.1	0.6	-0.4	-0.8	1.0	-0.4
XYZ1100023	29075.2974	40774.5815	11.7083	29075.2967	40774.582	11.7079	-0.7	0.5	-0.4	-0.5	0.7	-0.4
XYZ1100024	29076.9453	40775.051	11.7057	29076.9444	40775.0519	11.7056	-0.9	0.9	-0.1	-0.5	1.2	-0.1
XYZ1100025	29069.506	40777.7886	11.7144	29069.5048	40777.7882	11.7149	-1.2	-0.4	0.5	-1.3	0.1	0.5
XYZ1100026	29070.8663	40778.2035	11.7182	29070.8658	40778.2041	11.718	-0.5	0.6	-0.2	-0.2	0.7	-0.2
XYZ1100027	29073.4553	40779.2125	11.7212	29073.4548	40779.2131	11.7213	-0.5	0.6	0.1	-0.2	0.7	0.1
XYZ1100028	29074.9261	40779.8015	11.716	29074.9262	40779.8016	11.7158	0.1	0.1	-0.2	0.1	0.1	-0.2
XYZ1100029	29067.7316	40781.9012	11.7665	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100030	29069.2249	40782.6209	11.7747	29069.2247	40782.6213	11.7747	-0.2	0.4	0.0	0.0	0.4	0.0
XYZ1100031	29071.7273	40783.5252	11.773	29071.7268	40783.526	11.7727	-0.5	0.8	-0.3	-0.2	0.9	-0.3
XYZ1100032	29073.2326	40783.9093	11.7596	29073.2324	40783.9101	11.7593	-0.2	0.8	-0.3	0.1	0.8	-0.3
XYZ1100033	29065.3058	40788.2388	11.7992	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100034	29066.7132	40788.9133	11.8147	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100035	29069.1766	40790.1906	11.8052	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100036	29070.7089	40790.3753	11.7932	29070.709	40790.376	11.793	0.1	0.7	-0.2	0.4	0.6	-0.2
XYZ1100037	29064.2078	40791.7595	11.8022	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100038	29065.6093	40791.6393	11.8134	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100039	29067.5012	40794.1343	11.8101	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100040	29069.1342	40794.1694	11.8005	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100041	29061.0127	40799.0845	11.7817	29061.0132	40799.0852	11.7817	0.5	0.7	0.0	0.7	0.5	0.0
XYZ1100042	29062.353	40800.2108	11.7933	29062.3528	40800.2102	11.793	-0.2	-0.6	-0.3	-0.4	-0.5	-0.3
XYZ1100043	29065.2324	40800.2768	11.7868	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100044	29066.7589	40800.7642	11.7838	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
XYZ1100045	29060.2342	40800.8953	11.8004	29060.2346	40800.8956	11.8004	0.4	0.3	0.0	0.5	0.1	0.0
XYZ1100046	29061.7088	40801.329	11.8127	29061.7094	40801.3297	11.8125	0.6	0.7	-0.2	0.8	0.4	-0.2
XYZ1100047	29064.5021	40801.7979	11.808	29064.5028	40801.7985	11.8077	0.7	0.6	-0.3	0.9	0.3	-0.3
XYZ1100048	29065.9155	40802.5361	11.8055	29065.9161	40802.5367	11.8052	0.6	0.6	-0.3	0.8	0.3	-0.3
XYZ1100049	29059.0609	40804.9629	11.8543	29059.0614	40804.9635	11.854	0.5	0.6	-0.3	0.7	0.4	-0.3
XYZ1100050	29060.1601	40805.5263	11.865	29060.1609	40805.5267	11.8648	0.8	0.4	-0.2	0.9	0.1	-0.2
XYZ1100051	29062.4524	40806.7719	11.8676	29062.4532	40806.7727	11.8675	0.8	0.8	-0.1	1.0	0.4	-0.1
XYZ1100052	29064.0024	40807.4929	11.8608	29064.0029	40807.4938	11.8594	0.5	0.9	-1.4	0.8	0.7	-1.4
XYZ1100053	29056.6636	40810.0255	11.8881	29056.6643	40810.0258	11.8878	0.7	0.3	-0.3	0.8	0.0	-0.3
XYZ1100054	29058.1062	40810.6316	11.8992	29058.1072	40810.6318	11.8995	1.0	0.2	0.3	1.0	-0.2	0.3
XYZ1100055	29060.5682	40811.4389	11.8972	29060.569	40811.4394	11.8971	0.8	0.5	-0.1	0.9	0.2	-0.1
XYZ1100056	29062.2967	40811.807	11.8917	29062.2977	40811.8075	11.8916	1.0	0.5	-0.1	1.1	0.1	-0.1
XYZ1100057	29054.4342	40815.3791	11.8956	29054.4352	40815.3791	11.8956	1.0	0.0	0.0	0.9	-0.4	0.0
XYZ1100058	29056.1087	40815.7915	11.9115	29056.1093	40815.7915	11.9115	0.6	0.0	0.0	0.6	-0.2	0.0
XYZ1100059	29058.6006	40816.6089	11.9082	29058.6014	40816.609	11.9084	0.8	0.1	0.2	0.8	-0.2	0.2
