Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
IBB101	28616.2685	35174.4843	88.5697	28616.2691	35174.4848	88.5701	0.6	0.5	0.4	0.2	-0.8	0.4
IBB102	28612.0273	35170.6779	88.3948	28612.0276	35170.6781	88.3957	0.3	0.2	0.9	0.0	-0.4	0.9
IBB103	28608.8041	35167.7047	88.2711	28608.8048	35167.7052	88.2716	0.7	0.5	0.5	0.1	-0.9	0.5
IBB104	28605.0811	35164.5172	88.129	28605.0813	35164.5174	88.1296	0.2	0.2	0.6	0.1	-0.3	0.6
IBB105	28601.1909	35161.4041	87.9768	28601.1912	35161.4045	87.9771	0.3	0.4	0.3	0.2	-0.5	0.3
IBB106	28598.4228	35159.2386	87.8722	28598.4235	35159.2395	87.8725	0.7	0.9	0.3	0.5	-1.0	0.3
IBB107	28595.6039	35157.079	87.7629	28595.6042	35157.0793	87.7633	0.3	0.3	0.4	0.1	-0.4	0.4
IBB108	28593.3919	35155.4117	87.6753	28593.3921	35155.4122	87.6757	0.2	0.5	0.4	0.4	-0.4	0.4
IBB109	28591.111	35153.7296	87.5894	28591.1113	35153.73	87.5897	0.3	0.4	0.3	0.2	-0.5	0.3
IBB110	28588.7816	35152.0492	87.4991	28588.7819	35152.0496	87.4992	0.3	0.4	0.1	0.2	-0.5	0.1
IBB111	28584.7995	35149.5052	87.3405	28584.7993	35149.5052	87.3406	-0.2	0.0	0.1	0.1	0.2	0.1
IBB112	28582.831	35148.0547	87.2748	28582.8306	35148.0546	87.275	-0.4	-0.1	0.2	0.1	0.4	0.2
IBB113	28581.2886	35146.825	87.2318	28581.2879	35146.8249	87.2321	-0.7	-0.1	0.3	0.2	0.7	0.3
IBB114	28578.8655	35145.2284	87.1388	28578.865	35145.2282	87.1389	-0.5	-0.2	0.1	0.1	0.5	0.1
IBB115	28576.505	35143.6828	87.0596	28576.5044	35143.6824	87.0598	-0.6	-0.4	0.2	-0.1	0.7	0.2
IBB116	28573.575	35141.8635	86.955	28573.5744	35141.8633	86.9552	-0.6	-0.2	0.2	0.1	0.6	0.2
IBB117	28570.5845	35140.004	86.8455	28570.584	35140.0036	86.8459	-0.5	-0.4	0.4	-0.1	0.6	0.4
IBB118	28567.5497	35138.1324	86.7422	28567.5489	35138.1321	86.743	-0.8	-0.3	0.8	0.1	0.8	0.8
IBB119	28565.7149	35137.0487	86.6816	28565.7146	35137.0484	86.6821	-0.3	-0.3	0.5	-0.1	0.4	0.5
IBB120	28563.2736	35135.6048	86.5966	28563.2732	35135.6042	86.5972	-0.4	-0.6	0.6	-0.3	0.6	0.6
IBB121	28560.1941	35133.8424	86.4897	28560.1935	35133.8421	86.49	-0.6	-0.3	0.3	0.0	0.7	0.3
IBB122	28557.5031	35132.3903	86.3932	28557.5027	35132.3897	86.3936	-0.4	-0.6	0.4	-0.3	0.6	0.4
IBB123	28554.9843	35131.0199	86.3089	28554.9841	35131.0189	86.309	-0.2	-1.0	0.1	-0.8	0.6	0.1
IBB124	28552.5109	35129.7042	86.2201	28552.5112	35129.7035	86.2208	0.3	-0.7	0.7	-0.8	0.1	0.7
IBB125	28550.0265	35128.3888	86.1457	28550.0263	35128.3878	86.1461	-0.2	-1.0	0.4	-0.8	0.6	0.4
IBB126	28546.9205	35126.812	86.0411	28546.9205	35126.8113	86.0415	0.0	-0.7	0.4	-0.6	0.3	0.4
IBB127	28544.3875	35125.5733	85.9594	28544.388	35125.5721	85.9586	0.5	-1.2	-0.8	-1.3	0.1	-0.8
IBB128	28541.8443	35124.4329	85.8743	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB129	28539.2832	35123.2186	85.7922	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB130	28536.7317	35121.9781	85.7061	28536.7314	35121.9779	85.7068	-0.3	-0.2	0.7	0.0	0.4	0.7
IBB131	28533.5422	35120.5498	85.6034	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB132	28530.916	35119.4147	85.5177	28530.9159	35119.4144	85.5185	-0.1	-0.3	0.8	-0.2	0.2	0.8
IBB133	28528.9479	35118.6688	85.4391	28528.9478	35118.6682	85.4388	-0.1	-0.6	-0.3	-0.5	0.4	-0.3
IBB134	28525.8057	35117.3319	85.3398	28525.8057	35117.3314	85.3393	0.0	-0.5	-0.5	-0.4	0.2	-0.5
IBB135	28522.5441	35116.0553	85.231	28522.5439	35116.055	85.2309	-0.2	-0.3	-0.1	-0.2	0.3	-0.1
IBB136	28520.4973	35115.2313	85.1685	28520.4969	35115.2311	85.1678	-0.4	-0.2	-0.7	0.0	0.4	-0.7
IBB137	28517.803	35114.2311	85.088	28517.8028	35114.231	85.0878	-0.2	-0.1	-0.2	0.0	0.2	-0.2
IBB138	28515.0394	35113.2246	84.9958	28515.0393	35113.2245	84.9957	-0.1	-0.1	-0.1	0.0	0.1	-0.1
IBB139	28510.8215	35111.7945	84.857	28510.8212	35111.7943	84.8566	-0.3	-0.2	-0.4	0.0	0.4	-0.4
IBB140	28509.0056	35111.1452	84.8034	28509.0054	35111.1452	84.803	-0.2	0.0	-0.4	0.1	0.2	-0.4
IBB141	28506.9615	35110.4488	84.7401	28506.9614	35110.449	84.7393	-0.1	0.2	-0.8	0.2	0.0	-0.8
IBB142	28503.6453	35109.3847	84.6269	28503.6451	35109.385	84.626	-0.2	0.3	-0.9	0.4	0.0	-0.9
IBB143	28500.9017	35108.5513	84.5374	28500.9017	35108.5515	84.5367	0.0	0.2	-0.7	0.2	-0.1	-0.7
IBB144	28497.5879	35107.6199	84.4288	28497.5878	35107.6204	84.4284	-0.1	0.5	-0.4	0.5	-0.1	-0.4
IBB145	28494.9398	35106.9938	84.3291	28494.9396	35106.9941	84.3287	-0.2	0.3	-0.4	0.4	0.0	-0.4
IBB146	28491.9026	35106.0372	84.2416	28491.9027	35106.0376	84.2415	0.1	0.4	-0.1	0.3	-0.3	-0.1
IBB147	28489.4468	35105.2142	84.1719	28489.4467	35105.2146	84.1718	-0.1	0.4	-0.1	0.4	-0.1	-0.1
