Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
IBB101	28616.2685	35174.4843	88.5697	28616.269	35174.4848	88.5704	0.5	0.5	0.7	0.2	-0.7	0.7
IBB102	28612.0273	35170.6779	88.3948	28612.0275	35170.6779	88.3954	0.2	0.0	0.6	-0.1	-0.2	0.6
IBB103	28608.8041	35167.7047	88.2711	28608.805	35167.7049	88.2712	0.9	0.2	0.1	-0.2	-0.9	0.1
IBB104	28605.0811	35164.5172	88.129	28605.0814	35164.5173	88.1295	0.3	0.1	0.5	0.0	-0.3	0.5
IBB105	28601.1909	35161.4041	87.9768	28601.1913	35161.4042	87.977	0.4	0.1	0.2	-0.1	-0.4	0.2
IBB106	28598.4228	35159.2386	87.8722	28598.4237	35159.2394	87.8724	0.9	0.8	0.2	0.3	-1.2	0.2
IBB107	28595.6039	35157.079	87.7629	28595.6042	35157.0792	87.7632	0.3	0.2	0.3	0.0	-0.4	0.3
IBB108	28593.3919	35155.4117	87.6753	28593.3921	35155.412	87.6756	0.2	0.3	0.3	0.2	-0.3	0.3
IBB109	28591.111	35153.7296	87.5894	28591.1114	35153.7298	87.5896	0.4	0.2	0.2	0.0	-0.4	0.2
IBB110	28588.7816	35152.0492	87.4991	28588.7819	35152.0496	87.4991	0.3	0.4	0.0	0.2	-0.5	0.0
IBB111	28584.7995	35149.5052	87.3405	28584.7993	35149.5052	87.3405	-0.2	0.0	0.0	0.1	0.2	0.0
IBB112	28582.831	35148.0547	87.2748	28582.8304	35148.0545	87.2747	-0.6	-0.2	-0.1	0.1	0.6	-0.1
IBB113	28581.2886	35146.825	87.2318	28581.2882	35146.8249	87.232	-0.4	-0.1	0.2	0.1	0.4	0.2
IBB114	28578.8655	35145.2284	87.1388	28578.8649	35145.2282	87.1388	-0.6	-0.2	0.0	0.1	0.6	0.0
IBB115	28576.505	35143.6828	87.0596	28576.5043	35143.6824	87.0595	-0.7	-0.4	-0.1	0.0	0.8	-0.1
IBB116	28573.575	35141.8635	86.955	28573.5743	35141.8634	86.955	-0.7	-0.1	0.0	0.2	0.7	0.0
IBB117	28570.5845	35140.004	86.8455	28570.5838	35140.0038	86.8457	-0.7	-0.2	0.2	0.1	0.7	0.2
IBB118	28567.5497	35138.1324	86.7422	28567.5488	35138.1323	86.7428	-0.9	-0.1	0.6	0.3	0.8	0.6
IBB119	28565.7149	35137.0487	86.6816	28565.7146	35137.0486	86.6819	-0.3	-0.1	0.3	0.0	0.3	0.3
IBB120	28563.2736	35135.6048	86.5966	28563.2731	35135.6045	86.5969	-0.5	-0.3	0.3	0.0	0.6	0.3
IBB121	28560.1941	35133.8424	86.4897	28560.1936	35133.842	86.4896	-0.5	-0.4	-0.1	-0.1	0.6	-0.1
IBB122	28557.5031	35132.3903	86.3932	28557.5029	35132.3898	86.3935	-0.2	-0.5	0.3	-0.4	0.4	0.3
IBB123	28554.9843	35131.0199	86.3089	28554.9839	35131.0192	86.3088	-0.4	-0.7	-0.1	-0.4	0.7	-0.1
IBB124	28552.5109	35129.7042	86.2201	28552.511	35129.7036	86.2204	0.1	-0.6	0.3	-0.6	0.2	0.3
IBB125	28550.0265	35128.3888	86.1457	28550.0265	35128.3882	86.1458	0.0	-0.6	0.1	-0.5	0.3	0.1
IBB126	28546.9205	35126.812	86.0411	28546.9203	35126.8116	86.0412	-0.2	-0.4	0.1	-0.3	0.4	0.1
IBB127	28544.3875	35125.5733	85.9594	28544.3878	35125.5725	85.9586	0.3	-0.8	-0.8	-0.8	0.1	-0.8
IBB128	28541.8443	35124.4329	85.8743	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB129	28539.2832	35123.2186	85.7922	28539.2833	35123.2182	85.7925	0.1	-0.4	0.3	-0.4	0.1	0.3
IBB130	28536.7317	35121.9781	85.7061	28536.7315	35121.9778	85.7064	-0.2	-0.3	0.3	-0.2	0.3	0.3
IBB131	28533.5422	35120.5498	85.6034	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB132	28530.916	35119.4147	85.5177	28530.9159	35119.4145	85.5184	-0.1	-0.2	0.7	-0.1	0.2	0.7
IBB133	28528.9479	35118.6688	85.4391	28528.9477	35118.6679	85.439	-0.2	-0.9	-0.1	-0.7	0.6	-0.1
IBB134	28525.8057	35117.3319	85.3398	28525.8054	35117.3315	85.339	-0.3	-0.4	-0.8	-0.2	0.5	-0.8
IBB135	28522.5441	35116.0553	85.231	28522.5438	35116.0547	85.2308	-0.3	-0.6	-0.2	-0.4	0.5	-0.2
IBB136	28520.4973	35115.2313	85.1685	28520.497	35115.2309	85.1682	-0.3	-0.4	-0.3	-0.2	0.5	-0.3
IBB137	28517.803	35114.2311	85.088	28517.8028	35114.2309	85.0878	-0.2	-0.2	-0.2	-0.1	0.3	-0.2
IBB138	28515.0394	35113.2246	84.9958	28515.0391	35113.2244	84.9958	-0.3	-0.2	0.0	0.0	0.4	0.0
IBB139	28510.8215	35111.7945	84.857	28510.821	35111.7943	84.8568	-0.5	-0.2	-0.2	0.1	0.5	-0.2
IBB140	28509.0056	35111.1452	84.8034	28509.0054	35111.1452	84.8033	-0.2	0.0	-0.1	0.1	0.2	-0.1
IBB141	28506.9615	35110.4488	84.7401	28506.9614	35110.449	84.7395	-0.1	0.2	-0.6	0.2	0.0	-0.6
IBB142	28503.6453	35109.3847	84.6269	28503.6451	35109.3849	84.6262	-0.2	0.2	-0.7	0.3	0.1	-0.7
IBB143	28500.9017	35108.5513	84.5374	28500.9016	35108.5514	84.537	-0.1	0.1	-0.4	0.1	0.0	-0.4
IBB144	28497.5879	35107.6199	84.4288	28497.5877	35107.6203	84.4287	-0.2	0.4	-0.1	0.4	0.0	-0.1
