Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
IBB101	28616.2685	35174.4843	88.5697	28616.2689	35174.4846	88.5703	0.4	0.3	0.6	0.1	-0.5	0.6
IBB102	28612.0273	35170.6779	88.3948	28612.0277	35170.6777	88.3954	0.4	-0.2	0.6	-0.4	-0.3	0.6
IBB103	28608.8041	35167.7047	88.2711	28608.8049	35167.7048	88.2713	0.8	0.1	0.2	-0.3	-0.8	0.2
IBB104	28605.0811	35164.5172	88.129	28605.0814	35164.5174	88.1294	0.3	0.2	0.4	0.0	-0.4	0.4
IBB105	28601.1909	35161.4041	87.9768	28601.1913	35161.4043	87.977	0.4	0.2	0.2	0.0	-0.4	0.2
IBB106	28598.4228	35159.2386	87.8722	28598.4235	35159.2393	87.8724	0.7	0.7	0.2	0.3	-0.9	0.2
IBB107	28595.6039	35157.079	87.7629	28595.6042	35157.0792	87.7633	0.3	0.2	0.4	0.0	-0.4	0.4
IBB108	28593.3919	35155.4117	87.6753	28593.3921	35155.412	87.6756	0.2	0.3	0.3	0.2	-0.3	0.3
IBB109	28591.111	35153.7296	87.5894	28591.1113	35153.7297	87.5897	0.3	0.1	0.3	0.0	-0.3	0.3
IBB110	28588.7816	35152.0492	87.4991	28588.7819	35152.0496	87.4991	0.3	0.4	0.0	0.2	-0.5	0.0
IBB111	28584.7995	35149.5052	87.3405	28584.7993	35149.5052	87.3405	-0.2	0.0	0.0	0.1	0.2	0.0
IBB112	28582.831	35148.0547	87.2748	28582.8306	35148.0546	87.2748	-0.4	-0.1	0.0	0.1	0.4	0.0
IBB113	28581.2886	35146.825	87.2318	28581.288	35146.8248	87.232	-0.6	-0.2	0.2	0.1	0.6	0.2
IBB114	28578.8655	35145.2284	87.1388	28578.865	35145.2282	87.1388	-0.5	-0.2	0.0	0.1	0.5	0.0
IBB115	28576.505	35143.6828	87.0596	28576.5045	35143.6825	87.0596	-0.5	-0.3	0.0	0.0	0.6	0.0
IBB116	28573.575	35141.8635	86.955	28573.5742	35141.8634	86.955	-0.8	-0.1	0.0	0.3	0.8	0.0
IBB117	28570.5845	35140.004	86.8455	28570.5836	35140.0037	86.8457	-0.9	-0.3	0.2	0.1	0.9	0.2
IBB118	28567.5497	35138.1324	86.7422	28567.5489	35138.1323	86.7429	-0.8	-0.1	0.7	0.3	0.8	0.7
IBB119	28565.7149	35137.0487	86.6816	28565.7146	35137.0484	86.6819	-0.3	-0.3	0.3	-0.1	0.4	0.3
IBB120	28563.2736	35135.6048	86.5966	28563.2729	35135.6046	86.597	-0.7	-0.2	0.4	0.1	0.7	0.4
IBB121	28560.1941	35133.8424	86.4897	28560.1936	35133.8421	86.4897	-0.5	-0.3	0.0	0.0	0.6	0.0
IBB122	28557.5031	35132.3903	86.3932	28557.503	35132.3898	86.3936	-0.1	-0.5	0.4	-0.4	0.3	0.4
IBB123	28554.9843	35131.0199	86.3089	28554.9839	35131.0194	86.3088	-0.4	-0.5	-0.1	-0.3	0.6	-0.1
IBB124	28552.5109	35129.7042	86.2201	28552.5112	35129.7036	86.2204	0.3	-0.6	0.3	-0.7	0.0	0.3
IBB125	28550.0265	35128.3888	86.1457	28550.0263	35128.3881	86.146	-0.2	-0.7	0.3	-0.5	0.5	0.3
IBB126	28546.9205	35126.812	86.0411	28546.9203	35126.8118	86.0411	-0.2	-0.2	0.0	-0.1	0.3	0.0
IBB127	28544.3875	35125.5733	85.9594	28544.3878	35125.5723	85.9588	0.3	-1.0	-0.6	-1.0	0.2	-0.6
IBB128	28541.8443	35124.4329	85.8743	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB129	28539.2832	35123.2186	85.7922	28539.2834	35123.2181	85.7925	0.2	-0.5	0.3	-0.5	0.1	0.3
IBB130	28536.7317	35121.9781	85.7061	28536.7313	35121.9778	85.7064	-0.4	-0.3	0.3	-0.1	0.5	0.3
IBB131	28533.5422	35120.5498	85.6034	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB132	28530.916	35119.4147	85.5177	28530.9159	35119.4147	85.5184	-0.1	0.0	0.7	0.0	0.1	0.7
IBB133	28528.9479	35118.6688	85.4391	28528.9475	35118.6686	85.4389	-0.4	-0.2	-0.2	0.0	0.4	-0.2
IBB134	28525.8057	35117.3319	85.3398	28525.8053	35117.3319	85.3391	-0.4	0.0	-0.7	0.2	0.4	-0.7
IBB135	28522.5441	35116.0553	85.231	28522.5437	35116.0554	85.2308	-0.4	0.1	-0.2	0.3	0.3	-0.2
IBB136	28520.4973	35115.2313	85.1685	28520.497	35115.2314	85.1678	-0.3	0.1	-0.7	0.2	0.2	-0.7
IBB137	28517.803	35114.2311	85.088	28517.8028	35114.2311	85.0876	-0.2	0.0	-0.4	0.1	0.2	-0.4
IBB138	28515.0394	35113.2246	84.9958	28515.0392	35113.2246	84.9955	-0.2	0.0	-0.3	0.1	0.2	-0.3
IBB139	28510.8215	35111.7945	84.857	28510.8212	35111.7942	84.8567	-0.3	-0.3	-0.3	-0.1	0.4	-0.3
IBB140	28509.0056	35111.1452	84.8034	28509.0055	35111.1452	84.8029	-0.1	0.0	-0.5	0.0	0.1	-0.5
IBB141	28506.9615	35110.4488	84.7401	28506.9613	35110.4489	84.7388	-0.2	0.1	-1.3	0.2	0.1	-1.3
IBB142	28503.6453	35109.3847	84.6269	28503.6452	35109.385	84.626	-0.1	0.3	-0.9	0.3	0.0	-0.9
IBB143	28500.9017	35108.5513	84.5374	28500.9017	35108.5516	84.5366	0.0	0.3	-0.8	0.3	-0.1	-0.8
