Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
IBB101	28616.2685	35174.4843	88.5697	28616.269	35174.4847	88.5701	0.5	0.4	0.4	0.1	-0.6	0.4
IBB102	28612.0273	35170.6779	88.3948	28612.0277	35170.6778	88.3955	0.4	-0.1	0.7	-0.3	-0.3	0.7
IBB103	28608.8041	35167.7047	88.2711	28608.805	35167.7049	88.2712	0.9	0.2	0.1	-0.2	-0.9	0.1
IBB104	28605.0811	35164.5172	88.129	28605.0814	35164.5173	88.1295	0.3	0.1	0.5	0.0	-0.3	0.5
IBB105	28601.1909	35161.4041	87.9768	28601.1912	35161.4042	87.9771	0.3	0.1	0.3	0.0	-0.3	0.3
IBB106	28598.4228	35159.2386	87.8722	28598.4237	35159.2394	87.8723	0.9	0.8	0.1	0.3	-1.2	0.1
IBB107	28595.6039	35157.079	87.7629	28595.6042	35157.0792	87.7632	0.3	0.2	0.3	0.0	-0.4	0.3
IBB108	28593.3919	35155.4117	87.6753	28593.3921	35155.412	87.6756	0.2	0.3	0.3	0.2	-0.3	0.3
IBB109	28591.111	35153.7296	87.5894	28591.1113	35153.7297	87.5896	0.3	0.1	0.2	0.0	-0.3	0.2
IBB110	28588.7816	35152.0492	87.4991	28588.7819	35152.0497	87.499	0.3	0.5	-0.1	0.3	-0.5	-0.1
IBB111	28584.7995	35149.5052	87.3405	28584.7992	35149.5052	87.3404	-0.3	0.0	-0.1	0.1	0.3	-0.1
IBB112	28582.831	35148.0547	87.2748	28582.8307	35148.0546	87.2748	-0.3	-0.1	0.0	0.0	0.3	0.0
IBB113	28581.2886	35146.825	87.2318	28581.2881	35146.8249	87.232	-0.5	-0.1	0.2	0.1	0.5	0.2
IBB114	28578.8655	35145.2284	87.1388	28578.8652	35145.2283	87.1388	-0.3	-0.1	0.0	0.0	0.3	0.0
IBB115	28576.505	35143.6828	87.0596	28576.5046	35143.6826	87.0596	-0.4	-0.2	0.0	0.0	0.4	0.0
IBB116	28573.575	35141.8635	86.955	28573.5743	35141.8634	86.955	-0.7	-0.1	0.0	0.2	0.7	0.0
IBB117	28570.5845	35140.004	86.8455	28570.5837	35140.0037	86.8457	-0.8	-0.3	0.2	0.1	0.8	0.2
IBB118	28567.5497	35138.1324	86.7422	28567.5489	35138.1323	86.7429	-0.8	-0.1	0.7	0.3	0.8	0.7
IBB119	28565.7149	35137.0487	86.6816	28565.7146	35137.0484	86.6819	-0.3	-0.3	0.3	-0.1	0.4	0.3
IBB120	28563.2736	35135.6048	86.5966	28563.2731	35135.6045	86.597	-0.5	-0.3	0.4	0.0	0.6	0.4
IBB121	28560.1941	35133.8424	86.4897	28560.1936	35133.8421	86.4896	-0.5	-0.3	-0.1	0.0	0.6	-0.1
IBB122	28557.5031	35132.3903	86.3932	28557.5028	35132.3899	86.3936	-0.3	-0.4	0.4	-0.2	0.5	0.4
IBB123	28554.9843	35131.0199	86.3089	28554.9841	35131.0193	86.3088	-0.2	-0.6	-0.1	-0.4	0.5	-0.1
IBB124	28552.5109	35129.7042	86.2201	28552.5113	35129.7036	86.2204	0.4	-0.6	0.3	-0.7	-0.1	0.3
IBB125	28550.0265	35128.3888	86.1457	28550.0262	35128.3881	86.1459	-0.3	-0.7	0.2	-0.5	0.6	0.2
IBB126	28546.9205	35126.812	86.0411	28546.9205	35126.8117	86.0412	0.0	-0.3	0.1	-0.3	0.1	0.1
IBB127	28544.3875	35125.5733	85.9594	28544.3877	35125.5724	85.9586	0.2	-0.9	-0.8	-0.9	0.2	-0.8
IBB128	28541.8443	35124.4329	85.8743	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB129	28539.2832	35123.2186	85.7922	28539.2834	35123.2181	85.7925	0.2	-0.5	0.3	-0.5	0.1	0.3
IBB130	28536.7317	35121.9781	85.7061	28536.7314	35121.9778	85.7064	-0.3	-0.3	0.3	-0.1	0.4	0.3
IBB131	28533.5422	35120.5498	85.6034	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB132	28530.916	35119.4147	85.5177	28530.9159	35119.4147	85.5184	-0.1	0.0	0.7	0.0	0.1	0.7
IBB133	28528.9479	35118.6688	85.4391	28528.9474	35118.6685	85.4388	-0.5	-0.3	-0.3	0.0	0.6	-0.3
IBB134	28525.8057	35117.3319	85.3398	28525.8055	35117.3316	85.3396	-0.2	-0.3	-0.2	-0.2	0.3	-0.2
IBB135	28522.5441	35116.0553	85.231	28522.5438	35116.0549	85.2309	-0.3	-0.4	-0.1	-0.2	0.5	-0.1
IBB136	28520.4973	35115.2313	85.1685	28520.4971	35115.231	85.1676	-0.2	-0.3	-0.9	-0.2	0.3	-0.9
IBB137	28517.803	35114.2311	85.088	28517.8028	35114.2311	85.0881	-0.2	0.0	0.1	0.1	0.2	0.1
IBB138	28515.0394	35113.2246	84.9958	28515.0391	35113.2244	84.9956	-0.3	-0.2	-0.2	0.0	0.4	-0.2
IBB139	28510.8215	35111.7945	84.857	28510.8212	35111.7944	84.8567	-0.3	-0.1	-0.3	0.0	0.3	-0.3
IBB140	28509.0056	35111.1452	84.8034	28509.0054	35111.1453	84.8031	-0.2	0.1	-0.3	0.2	0.1	-0.3
IBB141	28506.9615	35110.4488	84.7401	28506.9614	35110.4491	84.7394	-0.1	0.3	-0.7	0.3	0.0	-0.7
IBB142	28503.6453	35109.3847	84.6269	28503.6451	35109.3851	84.6261	-0.2	0.4	-0.8	0.4	0.0	-0.8
IBB143	28500.9017	35108.5513	84.5374	28500.9017	35108.5516	84.5368	0.0	0.3	-0.6	0.3	-0.1	-0.6
IBB144	28497.5879	35107.6199	84.4288	28497.5878	35107.6204	84.4285	-0.1	0.5	-0.3	0.5	-0.1	-0.3
IBB145	28494.9398	35106.9938	84.3291	28494.9396	35106.9941	84.3288	-0.2	0.3	-0.3	0.4	0.0	-0.3
IBB146	28491.9026	35106.0372	84.2416	28491.9027	35106.0376	84.2417	0.1	0.4	0.1	0.3	-0.3	0.1
IBB147	28489.4468	35105.2142	84.1719	28489.4467	35105.2146	84.172	-0.1	0.4	0.1	0.4	-0.1	0.1
IBB148	28486.654	35104.4135	84.0857	28486.6538	35104.4139	84.086	-0.2	0.4	0.3	0.4	0.0	0.3
IBB149	28483.9104	35103.6452	84.0015	28483.9102	35103.6455	84.0018	-0.2	0.3	0.3	0.4	0.0	0.3
IBB150	28480.4237	35102.7157	83.8906	28480.4234	35102.716	83.891	-0.3	0.3	0.4	0.4	0.1	0.4
IBB151	28477.7187	35102.0227	83.8082	28477.7185	35102.0231	83.8089	-0.2	0.4	0.7	0.4	0.0	0.7
IBB152	28475.0216	35101.3822	83.7253	28475.0217	35101.3825	83.7259	0.1	0.3	0.6	0.2	-0.2	0.6
IBB153	28473.0462	35100.7971	83.6668	28473.046	35100.7974	83.6675	-0.2	0.3	0.7	0.4	0.0	0.7
IBB154	28471.2293	35100.324	83.6083	28471.2294	35100.3242	83.6088	0.1	0.2	0.5	0.1	-0.2	0.5
IBB155	28468.2324	35099.5579	83.5206	28468.2323	35099.5581	83.5211	-0.1	0.2	0.5	0.2	0.0	0.5
IBB156	28463.001	35098.2818	83.3551	28463.0011	35098.2818	83.3562	0.1	0.0	1.1	0.0	-0.1	1.1
IBB157	28458.2288	35097.1692	83.2057	28458.2288	35097.169	83.2063	0.0	-0.2	0.6	-0.2	0.1	0.6
IBB158	28454.6108	35096.2887	83.0962	28454.6108	35096.2887	83.0973	0.0	0.0	1.1	0.0	0.0	1.1
IBB159	28449.8853	35095.1228	82.9471	28449.8852	35095.1235	82.9474	-0.1	0.7	0.3	0.7	-0.2	0.3
