Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
IBB101	28616.2685	35174.4843	88.5697	28616.2692	35174.4843	88.5701	0.7	0.0	0.4	-0.3	-0.6	0.4
IBB102	28612.0273	35170.6779	88.3948	28612.0279	35170.6776	88.3956	0.6	-0.3	0.8	-0.5	-0.4	0.8
IBB103	28608.8041	35167.7047	88.2711	28608.8051	35167.7051	88.2714	1.0	0.4	0.3	-0.1	-1.1	0.3
IBB104	28605.0811	35164.5172	88.129	28605.0815	35164.5172	88.1295	0.4	0.0	0.5	-0.2	-0.4	0.5
IBB105	28601.1909	35161.4041	87.9768	28601.1916	35161.404	87.9769	0.7	-0.1	0.1	-0.4	-0.6	0.1
IBB106	28598.4228	35159.2386	87.8722	28598.4236	35159.2392	87.8724	0.8	0.6	0.2	0.2	-1.0	0.2
IBB107	28595.6039	35157.079	87.7629	28595.6044	35157.0791	87.7632	0.5	0.1	0.3	-0.1	-0.5	0.3
IBB108	28593.3919	35155.4117	87.6753	28593.3922	35155.4119	87.6756	0.3	0.2	0.3	0.0	-0.4	0.3
IBB109	28591.111	35153.7296	87.5894	28591.1114	35153.7298	87.5896	0.4	0.2	0.2	0.0	-0.4	0.2
IBB110	28588.7816	35152.0492	87.4991	28588.7819	35152.0495	87.4991	0.3	0.3	0.0	0.1	-0.4	0.0
IBB111	28584.7995	35149.5052	87.3405	28584.7992	35149.5051	87.3404	-0.3	-0.1	-0.1	0.0	0.3	-0.1
IBB112	28582.831	35148.0547	87.2748	28582.8307	35148.0546	87.2749	-0.3	-0.1	0.1	0.0	0.3	0.1
IBB113	28581.2886	35146.825	87.2318	28581.288	35146.8249	87.232	-0.6	-0.1	0.2	0.2	0.6	0.2
IBB114	28578.8655	35145.2284	87.1388	28578.8649	35145.2284	87.1391	-0.6	0.0	0.3	0.3	0.5	0.3
IBB115	28576.505	35143.6828	87.0596	28576.5042	35143.6826	87.0597	-0.8	-0.2	0.1	0.2	0.8	0.1
IBB116	28573.575	35141.8635	86.955	28573.5742	35141.8634	86.9553	-0.8	-0.1	0.3	0.3	0.8	0.3
IBB117	28570.5845	35140.004	86.8455	28570.5838	35140.0039	86.8459	-0.7	-0.1	0.4	0.2	0.7	0.4
IBB118	28567.5497	35138.1324	86.7422	28567.5486	35138.1323	86.7431	-1.1	-0.1	0.9	0.4	1.0	0.9
IBB119	28565.7149	35137.0487	86.6816	28565.7149	35137.0483	86.6823	0.0	-0.4	0.7	-0.4	0.2	0.7
IBB120	28563.2736	35135.6048	86.5966	28563.2732	35135.6041	86.5969	-0.4	-0.7	0.3	-0.4	0.7	0.3
IBB121	28560.1941	35133.8424	86.4897	28560.1937	35133.8419	86.4896	-0.4	-0.5	-0.1	-0.3	0.6	-0.1
IBB122	28557.5031	35132.3903	86.3932	28557.503	35132.3894	86.3939	-0.1	-0.9	0.7	-0.8	0.5	0.7
IBB123	28554.9843	35131.0199	86.3089	28554.984	35131.0195	86.3089	-0.3	-0.4	0.0	-0.2	0.5	0.0
IBB124	28552.5109	35129.7042	86.2201	28552.5111	35129.7033	86.221	0.2	-0.9	0.9	-0.9	0.2	0.9
IBB125	28550.0265	35128.3888	86.1457	28550.0262	35128.3882	86.1464	-0.3	-0.6	0.7	-0.4	0.5	0.7
IBB126	28546.9205	35126.812	86.0411	28546.9198	35126.8124	86.0418	-0.7	0.4	0.7	0.7	0.4	0.7
IBB127	28544.3875	35125.5733	85.9594	28544.3874	35125.573	85.9582	-0.1	-0.3	-1.2	-0.2	0.2	-1.2
IBB128	28541.8443	35124.4329	85.8743	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB129	28539.2832	35123.2186	85.7922	28539.2832	35123.2185	85.7925	0.0	-0.1	0.3	-0.1	0.0	0.3
IBB130	28536.7317	35121.9781	85.7061	28536.7314	35121.9776	85.7071	-0.3	-0.5	1.0	-0.3	0.5	1.0
IBB131	28533.5422	35120.5498	85.6034	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB132	28530.916	35119.4147	85.5177	28530.9154	35119.4152	85.5188	-0.6	0.5	1.1	0.7	0.3	1.1
IBB133	28528.9479	35118.6688	85.4391	28528.9476	35118.6684	85.4391	-0.3	-0.4	0.0	-0.2	0.5	0.0
IBB134	28525.8057	35117.3319	85.3398	28525.8055	35117.3314	85.3376	-0.2	-0.5	-2.2	-0.4	0.4	-2.2
IBB135	28522.5441	35116.0553	85.231	28522.5439	35116.0552	85.2309	-0.2	-0.1	-0.1	0.0	0.2	-0.1
IBB136	28520.4973	35115.2313	85.1685	28520.4971	35115.2312	85.1683	-0.2	-0.1	-0.2	0.0	0.2	-0.2
IBB137	28517.803	35114.2311	85.088	28517.8027	35114.2312	85.0872	-0.3	0.1	-0.8	0.2	0.2	-0.8
IBB138	28515.0394	35113.2246	84.9958	28515.0391	35113.2246	84.9957	-0.3	0.0	-0.1	0.1	0.3	-0.1
IBB139	28510.8215	35111.7945	84.857	28510.8211	35111.7946	84.8565	-0.4	0.1	-0.5	0.3	0.3	-0.5
IBB140	28509.0056	35111.1452	84.8034	28509.0055	35111.1454	84.8029	-0.1	0.2	-0.5	0.2	0.0	-0.5
IBB141	28506.9615	35110.4488	84.7401	28506.9614	35110.4491	84.7391	-0.1	0.3	-1.0	0.3	0.0	-1.0
IBB142	28503.6453	35109.3847	84.6269	28503.6452	35109.385	84.626	-0.1	0.3	-0.9	0.3	0.0	-0.9
IBB143	28500.9017	35108.5513	84.5374	28500.9018	35108.5515	84.5366	0.1	0.2	-0.8	0.1	-0.2	-0.8
IBB144	28497.5879	35107.6199	84.4288	28497.5879	35107.6203	84.4283	0.0	0.4	-0.5	0.4	-0.2	-0.5
IBB145	28494.9398	35106.9938	84.3291	28494.9397	35106.9941	84.3286	-0.1	0.3	-0.5	0.3	0.0	-0.5
