Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
IBL05	28601.6805	35159.7154	88.3446	28601.6812	35159.7158	88.3448	0.7	0.4	0.2	0.0	-0.8	0.2
IBL06	28599.4572	35157.9588	88.2557	28599.4573	35157.959	88.2558	0.1	0.2	0.1	0.1	-0.2	0.1
IBL07	28597.3152	35156.2951	88.1937	28597.3156	35156.2952	88.194	0.4	0.1	0.3	-0.1	-0.4	0.3
IBL08	28594.5948	35154.2419	88.0952	28594.5953	35154.2421	88.0952	0.5	0.2	0.0	-0.1	-0.5	0.0
IBL09	28592.312	35152.5153	88.0857	28592.3123	35152.5155	88.0859	0.3	0.2	0.2	0.0	-0.4	0.2
IBL10	28590.2833	35151.5621	87.5824	28590.2837	35151.5624	87.5823	0.4	0.3	-0.1	0.1	-0.5	-0.1
IBL11	28585.4329	35147.308	89.4859	28585.4324	35147.3081	89.486	-0.5	0.1	0.1	0.3	0.4	0.1
IBL12	28584.0637	35146.6657	87.7812	28584.0633	35146.6655	87.7813	-0.4	-0.2	0.1	0.0	0.4	0.1
IBL13	28581.7393	35145.0844	87.7357	28581.7386	35145.0841	87.7357	-0.7	-0.3	0.0	0.1	0.8	0.0
IBL14	28579.3855	35143.546	87.6074	28579.3851	35143.546	87.6077	-0.4	0.0	0.3	0.2	0.4	0.3
IBL15	28577.0982	35142.0454	87.5352	28577.0975	35142.0453	87.5355	-0.7	-0.1	0.3	0.2	0.7	0.3
IBL16	28573.7318	35139.9329	87.3666	28573.731	35139.9327	87.367	-0.8	-0.2	0.4	0.2	0.8	0.4
IBL17	28571.3949	35138.4676	87.2956	28571.3941	35138.4676	87.296	-0.8	0.0	0.4	0.4	0.7	0.4
IBL18	28569.8014	35137.4743	87.2769	28569.8008	35137.474	87.2774	-0.6	-0.3	0.5	0.0	0.7	0.5
IBL19	28567.7894	35136.301	87.154	28567.7889	35136.301	87.1543	-0.5	0.0	0.3	0.2	0.4	0.3
IBL20	28565.3105	35134.7943	87.1326	28565.3102	35134.7944	87.1325	-0.3	0.1	-0.1	0.2	0.2	-0.1
IBL21	28562.8601	35133.4003	87.0025	28562.8602	35133.4005	87.003	0.1	0.2	0.5	0.1	-0.2	0.5
IBL22	28559.6444	35131.5401	86.9694	28559.6441	35131.5398	86.9691	-0.3	-0.3	-0.3	-0.1	0.4	-0.3
IBL23	28557.2267	35130.205	86.8909	28557.2267	35130.2046	86.8905	0.0	-0.4	-0.4	-0.4	0.2	-0.4
IBL24	28554.7332	35128.8487	86.8259	28554.7331	35128.8482	86.8256	-0.1	-0.5	-0.3	-0.4	0.3	-0.3
IBL25	28552.1776	35127.5797	86.5921	28552.1778	35127.5792	86.5913	0.2	-0.5	-0.8	-0.5	0.1	-0.8
IBL26	28549.0213	35125.9008	86.5993	28549.0215	35125.8997	86.5987	0.2	-1.1	-0.6	-1.1	0.3	-0.6
IBL27	28546.0952	35124.4731	86.4512	28546.0958	35124.4722	86.4507	0.6	-0.9	-0.5	-1.1	-0.1	-0.5
IBL28	28543.4999	35123.2529	86.2885	28543.5004	35123.2515	86.2871	0.5	-1.4	-1.4	-1.5	0.2	-1.4
IBL29	28540.1046	35121.61	86.2321	28540.1051	35121.6091	86.2318	0.5	-0.9	-0.3	-1.0	0.0	-0.3
IBL30	28537.703	35120.5159	86.1397	28537.7033	35120.5144	86.1397	0.3	-1.5	0.0	-1.5	0.4	0.0
IBL31	28534.9324	35119.2741	86.06	28534.9326	35119.273	86.0596	0.2	-1.1	-0.4	-1.1	0.3	-0.4
IBL32	28531.8194	35117.9111	85.9785	28531.8194	35117.9103	85.979	0.0	-0.8	0.5	-0.7	0.4	0.5
IBL33	28529.5695	35116.9751	85.9167	28529.5685	35116.9748	85.9165	-1.0	-0.3	-0.2	0.2	1.0	-0.2
IBL34	28527.34	35116.0681	85.8358	28527.3392	35116.0681	85.836	-0.8	0.0	0.2	0.4	0.7	0.2
IBL35	28525.3024	35115.2347	85.7938	28525.3019	35115.2344	85.7936	-0.5	-0.3	-0.2	0.0	0.6	-0.2
IBL36	28522.6824	35114.1986	85.7151	28522.6817	35114.1986	85.7153	-0.7	0.0	0.2	0.3	0.6	0.2
IBL37	28519.8315	35113.109	85.6318	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBL38	28516.1034	35111.7649	85.4818	28516.1029	35111.7644	85.4814	-0.5	-0.5	-0.4	-0.2	0.7	-0.4
IBL39	28513.5279	35110.8622	85.4001	28513.5277	35110.8605	85.3987	-0.2	-1.7	-1.4	-1.4	1.0	-1.4
IBL40	28510.519	35109.8317	85.2836	28510.5192	35109.8299	85.2825	0.2	-1.8	-1.1	-1.7	0.7	-1.1
IBL41	28508.068	35109.0111	85.1831	28508.0678	35109.0098	85.182	-0.2	-1.3	-1.1	-1.1	0.8	-1.1
IBL42	28504.8424	35107.9277	85.1187	28504.8418	35107.9274	85.1179	-0.6	-0.3	-0.8	0.0	0.7	-0.8
IBL43	28501.1397	35106.7549	84.9823	28501.1388	35106.755	84.9817	-0.9	0.1	-0.6	0.5	0.8	-0.6
IBL44	28498.7938	35106.0436	84.8812	28498.7935	35106.0438	84.8806	-0.3	0.2	-0.6	0.3	0.2	-0.6
IBL45	28496.9165	35105.461	84.8435	28496.9158	35105.4612	84.8434	-0.7	0.2	-0.1	0.5	0.5	-0.1
IBL46	28491.3806	35103.8227	84.6681	28491.3807	35103.823	84.6682	0.1	0.3	0.1	0.2	-0.2	0.1
IBL47	28489.9425	35103.4247	84.6012	28489.9428	35103.4252	84.6014	0.3	0.5	0.2	0.3	-0.5	0.2
IBL48	28487.7376	35102.531	86.3308	28487.7379	35102.5314	86.3308	0.3	0.4	0.0	0.2	-0.5	0.0
IBL49	28483.6656	35101.4101	86.2166	28483.6656	35101.4106	86.2167	0.0	0.5	0.1	0.4	-0.2	0.1
IBL50	28480.9458	35100.6612	86.0735	28480.9461	35100.6619	86.0738	0.3	0.7	0.3	0.5	-0.6	0.3
IBL51	28478.2183	35099.9403	85.9662	28478.2187	35099.9408	85.9664	0.4	0.5	0.2	0.3	-0.6	0.2
IBL52	28476.3447	35099.4691	86.08	28476.3451	35099.4697	86.0804	0.4	0.6	0.4	0.3	-0.6	0.4
IBL53	28474.1361	35098.8977	86.0003	28474.1366	35098.8985	86.0004	0.5	0.8	0.1	0.5	-0.8	0.1
IBL54	28471.6067	35098.2415	85.9221	28471.6068	35098.242	85.9227	0.1	0.5	0.6	0.4	-0.3	0.6
IBL55	28468.6942	35097.4829	85.7652	28468.6946	35097.4835	85.7662	0.4	0.6	1.0	0.3	-0.6	1.0
IBL56	28463.2311	35096.1251	85.5998	28463.2314	35096.1253	85.6004	0.3	0.2	0.6	0.0	-0.4	0.6
IBL57	28459.1311	35095.1147	85.4891	28459.1313	35095.1153	85.4902	0.2	0.6	1.1	0.4	-0.5	1.1
IBL58	28454.1026	35093.9035	85.3368	28454.1029	35093.9037	85.3379	0.3	0.2	1.1	0.0	-0.4	1.1
IBL59	28449.7821	35092.867	85.2597	28449.7822	35092.8672	85.2604	0.1	0.2	0.7	0.1	-0.2	0.7
IBL60	28445.908	35092.0937	85.1186	28445.9082	35092.094	85.1195	0.2	0.3	0.9	0.2	-0.3	0.9
IBR01	28613.6887	35176.9636	90.2834	28613.6891	35176.964	90.2842	0.4	0.4	0.8	0.2	-0.5	0.8
IBR02	28609.5423	35173.2684	90.139	28609.5427	35173.2688	90.1394	0.4	0.4	0.4	0.2	-0.5	0.4
IBR03	28606.2349	35170.4209	89.991	28606.2352	35170.421	89.9913	0.3	0.1	0.3	0.0	-0.3	0.3
IBR04	28602.132	35166.9917	89.7923	28602.1322	35166.9922	89.7925	0.2	0.5	0.2	0.4	-0.4	0.2
IBR05	28598.5474	35164.0928	89.6372	28598.5478	35164.0931	89.6374	0.4	0.3	0.2	0.1	-0.5	0.2
IBR06	28596.1875	35162.2196	89.5496	28596.1878	35162.2199	89.5499	0.3	0.3	0.3	0.1	-0.4	0.3
IBR07	28594.1855	35160.6601	89.4894	28594.1857	35160.6609	89.4898	0.2	0.8	0.4	0.6	-0.5	0.4
IBR08	28591.1485	35158.3617	89.3841	28591.1485	35158.3621	89.3843	0.0	0.4	0.2	0.4	-0.2	0.2
IBR09	28588.6314	35156.5093	89.3206	28588.6313	35156.5094	89.3208	-0.1	0.1	0.2	0.1	0.0	0.2
IBR10	28586.0168	35154.635	89.2266	28586.0165	35154.6355	89.2267	-0.3	0.5	0.1	0.6	0.0	0.1
IBR11	28583.7278	35153.02	89.1404	28583.7272	35153.0207	89.1406	-0.6	0.7	0.2	0.9	0.2	0.2
IBR12	28581.4446	35151.4378	89.0436	28581.4443	35151.4381	89.0439	-0.3	0.3	0.3	0.4	0.1	0.3
IBR13	28579.1391	35149.8718	88.9561	28579.1388	35149.872	88.9563	-0.3	0.2	0.2	0.3	0.2	0.2
IBR14	28576.8204	35148.3228	88.8735	28576.8196	35148.3231	88.8738	-0.8	0.3	0.3	0.6	0.6	0.3
IBR15	28574.4938	35146.8045	88.7928	28574.4935	35146.8045	88.7931	-0.3	0.0	0.3	0.1	0.3	0.3
IBR16	28571.7175	35145.0295	88.6988	28571.7171	35145.0297	88.6995	-0.4	0.2	0.7	0.4	0.3	0.7
IBR17	28568.9934	35143.3302	88.5972	28568.9923	35143.33	88.5978	-1.1	-0.2	0.6	0.3	1.1	0.6
IBR18	28565.8128	35141.3935	88.4714	28565.8126	35141.3933	88.4718	-0.2	-0.2	0.4	-0.1	0.3	0.4
IBR19	28564.2455	35140.4637	88.4087	28564.2451	35140.4637	88.4091	-0.4	0.0	0.4	0.2	0.4	0.4
IBR20	28561.0094	35138.5762	88.2807	28561.0088	35138.576	88.2808	-0.6	-0.2	0.1	0.1	0.6	0.1
IBR21	28558.5967	35137.1973	88.2084	28558.5963	35137.197	88.2087	-0.4	-0.3	0.3	-0.1	0.5	0.3
IBR22	28556.4767	35136.005	88.1298	28556.4764	35136.0045	88.1297	-0.3	-0.5	-0.1	-0.3	0.5	-0.1
IBR23	28552.9744	35134.0883	88.0296	28552.974	35134.088	88.0287	-0.4	-0.3	-0.9	-0.1	0.5	-0.9
IBR24	28551.2843	35133.1813	87.9761	28551.2841	35133.1812	87.9756	-0.2	-0.1	-0.5	0.0	0.2	-0.5
IBR25	28548.8331	35131.8964	87.8887	28548.8328	35131.8964	87.888	-0.3	0.0	-0.7	0.1	0.3	-0.7
IBR26	28545.5895	35130.2478	87.7785	28545.5889	35130.248	87.7774	-0.6	0.2	-1.1	0.5	0.4	-1.1
IBR27	28543.0855	35129.0125	87.6269	28543.0854	35129.0128	87.6257	-0.1	0.3	-1.2	0.3	0.0	-1.2
IBR28	28540.587	35127.8026	87.6127	28540.5864	35127.8033	87.6125	-0.6	0.7	-0.2	-0.4	-0.9	-0.2
IBR29	28537.613	35126.4085	87.51	28537.6131	35126.4091	87.5109	0.1	0.6	0.9	0.5	-0.4	0.9
IBR30	28535.5721	35125.4713	87.3644	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBR31	28532.5492	35124.1174	87.3995	28532.5492	35124.1172	87.3997	0.0	-0.2	0.2	-0.2	0.1	0.2
IBR32	28529.9172	35122.7202	87.335	28529.9171	35122.7204	87.335	-0.1	0.2	0.0	0.2	0.0	0.0
IBR33	28527.5535	35121.8108	87.2625	28527.5528	35121.8109	87.2622	-0.7	0.1	-0.3	0.4	0.6	-0.3
IBR34	28523.2254	35120.2142	87.112	28523.2246	35120.2142	87.1117	-0.8	0.0	-0.3	0.4	0.7	-0.3
IBR35	28520.6513	35119.1932	86.9651	28520.6507	35119.1934	86.9651	-0.6	0.2	0.0	0.5	0.4	0.0
IBR36	28518.9882	35118.5546	86.9261	28518.9876	35118.5546	86.9254	-0.6	0.0	-0.7	0.3	0.5	-0.7
IBR37	28516.7544	35117.725	86.8473	28516.7534	35117.7249	86.8468	-1.0	-0.1	-0.5	0.4	0.9	-0.5
IBR38	28513.5959	35116.5901	86.7446	28513.5953	35116.5898	86.7438	-0.6	-0.3	-0.8	0.0	0.7	-0.8
IBR39	28511.4671	35115.8504	86.6682	28511.4665	35115.8499	86.6677	-0.6	-0.5	-0.5	-0.2	0.8	-0.5
IBR40	28508.3738	35114.7993	86.5583	28508.3735	35114.799	86.5571	-0.3	-0.3	-1.2	-0.1	0.4	-1.2
IBR41	28506.2292	35114.0684	86.4871	28506.229	35114.0684	86.4857	-0.2	0.0	-1.4	0.1	0.2	-1.4
IBR42	28503.1009	35113.0355	86.3904	28503.1006	35113.0356	86.3894	-0.3	0.1	-1.0	0.2	0.2	-1.0
IBR43	28499.4652	35111.8852	86.2818	28499.465	35111.8855	86.281	-0.2	0.3	-0.8	0.4	0.0	-0.8
IBR44	28496.8178	35111.0811	86.1938	28496.8174	35111.0812	86.1931	-0.4	0.1	-0.7	0.3	0.3	-0.7
IBR45	28494.1182	35110.2617	86.1157	28494.118	35110.2622	86.1152	-0.2	0.5	-0.5	0.5	-0.1	-0.5
IBR46	28491.4337	35109.4637	86.0307	28491.4338	35109.4638	86.0304	0.1	0.1	-0.3	0.0	-0.1	-0.3
IBR47	28488.7495	35108.6877	85.9504	28488.7497	35108.6878	85.9502	0.2	0.1	-0.2	0.0	-0.2	-0.2
IBR48	28486.0549	35107.9167	85.8674	28486.0551	35107.9169	85.8672	0.2	0.2	-0.2	0.1	-0.3	-0.2
IBR49	28483.0205	35107.08	85.7522	28483.0205	35107.0803	85.7523	0.0	0.3	0.1	0.3	-0.1	0.1
IBR50	28480.329	35106.34	85.6741	28480.329	35106.3402	85.6742	0.0	0.2	0.1	0.2	-0.1	0.1
IBR51	28477.4416	35105.5731	85.5934	28477.4422	35105.5733	85.5936	0.6	0.2	0.2	-0.1	-0.6	0.2
IBR52	28474.9222	35104.9017	85.5211	28474.9225	35104.9019	85.5214	0.3	0.2	0.3	0.0	-0.4	0.3
IBR53	28471.8102	35104.0906	85.4164	28471.811	35104.0906	85.4168	0.8	0.0	0.4	-0.4	-0.7	0.4
IBR54	28469.5884	35103.5252	85.3683	28469.5887	35103.525	85.3691	0.3	-0.2	0.8	-0.3	-0.2	0.8
IBR55	28467.1715	35102.9101	85.2789	28467.172	35102.9102	85.2795	0.5	0.1	0.6	-0.1	-0.5	0.6
IBR56	28462.5524	35101.7489	85.1246	28462.5527	35101.7492	85.1257	0.3	0.3	1.1	0.1	-0.4	1.1
IBR57	28457.3133	35100.4664	84.9772	28457.3136	35100.4664	84.9781	0.3	0.0	0.9	-0.1	-0.3	0.9
IBR58	28453.2842	35099.4956	84.8495	28453.2844	35099.4955	84.8505	0.2	-0.1	1.0	-0.2	-0.1	1.0
IBR59	28448.9279	35098.4312	84.7139	28448.9277	35098.4311	84.7145	-0.2	-0.1	0.6	0.0	0.2	0.6
IBR60	28443.6633	35097.1383	84.549	28443.6635	35097.138	84.5502	0.2	-0.3	1.2	-0.4	0.0	1.2
