Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
IBB101	28616.2685	35174.4843	88.5697	28616.269	35174.4847	88.5701	0.5	0.4	0.4	0.1	-0.6	0.4
IBB102	28612.0273	35170.6779	88.3948	28612.0275	35170.678	88.3957	0.2	0.1	0.9	0.0	-0.2	0.9
IBB103	28608.8041	35167.7047	88.2711	28608.8048	35167.7053	88.2715	0.7	0.6	0.4	0.2	-0.9	0.4
IBB104	28605.0811	35164.5172	88.129	28605.0813	35164.5175	88.1294	0.2	0.3	0.4	0.2	-0.3	0.4
IBB105	28601.1909	35161.4041	87.9768	28601.1912	35161.4045	87.977	0.3	0.4	0.2	0.2	-0.5	0.2
IBB106	28598.4228	35159.2386	87.8722	28598.4237	35159.2395	87.8724	0.9	0.9	0.2	0.4	-1.2	0.2
IBB107	28595.6039	35157.079	87.7629	28595.6043	35157.0791	87.763	0.4	0.1	0.1	-0.1	-0.4	0.1
IBB108	28593.3919	35155.4117	87.6753	28593.3922	35155.4121	87.6755	0.3	0.4	0.2	0.2	-0.5	0.2
IBB109	28591.111	35153.7296	87.5894	28591.1113	35153.7298	87.5896	0.3	0.2	0.2	0.0	-0.4	0.2
IBB110	28588.7816	35152.0492	87.4991	28588.7819	35152.0496	87.4991	0.3	0.4	0.0	0.2	-0.5	0.0
IBB111	28584.7995	35149.5052	87.3405	28584.7991	35149.5053	87.3403	-0.4	0.1	-0.2	0.3	0.3	-0.2
IBB112	28582.831	35148.0547	87.2748	28582.8306	35148.0547	87.2748	-0.4	0.0	0.0	0.2	0.4	0.0
IBB113	28581.2886	35146.825	87.2318	28581.288	35146.8249	87.2319	-0.6	-0.1	0.1	0.2	0.6	0.1
IBB114	28578.8655	35145.2284	87.1388	28578.8651	35145.2283	87.1388	-0.4	-0.1	0.0	0.1	0.4	0.0
IBB115	28576.505	35143.6828	87.0596	28576.5044	35143.6825	87.0597	-0.6	-0.3	0.1	0.0	0.7	0.1
IBB116	28573.575	35141.8635	86.955	28573.5744	35141.8635	86.955	-0.6	0.0	0.0	0.3	0.5	0.0
IBB117	28570.5845	35140.004	86.8455	28570.584	35140.0037	86.8457	-0.5	-0.3	0.2	0.0	0.6	0.2
IBB118	28567.5497	35138.1324	86.7422	28567.5488	35138.1321	86.7429	-0.9	-0.3	0.7	0.1	0.9	0.7
IBB119	28565.7149	35137.0487	86.6816	28565.7147	35137.0484	86.6819	-0.2	-0.3	0.3	-0.2	0.3	0.3
IBB120	28563.2736	35135.6048	86.5966	28563.2731	35135.6044	86.5971	-0.5	-0.4	0.5	-0.1	0.6	0.5
IBB121	28560.1941	35133.8424	86.4897	28560.1935	35133.8422	86.4897	-0.6	-0.2	0.0	0.1	0.6	0.0
IBB122	28557.5031	35132.3903	86.3932	28557.5027	35132.3901	86.3936	-0.4	-0.2	0.4	0.0	0.4	0.4
IBB123	28554.9843	35131.0199	86.3089	28554.984	35131.0192	86.3089	-0.3	-0.7	0.0	-0.5	0.6	0.0
IBB124	28552.5109	35129.7042	86.2201	28552.5108	35129.7043	86.2209	-0.1	0.1	0.8	0.1	0.0	0.8
IBB125	28550.0265	35128.3888	86.1457	28550.0261	35128.3884	86.1463	-0.4	-0.4	0.6	-0.2	0.5	0.6
IBB126	28546.9205	35126.812	86.0411	28546.9203	35126.8115	86.0414	-0.2	-0.5	0.3	-0.4	0.4	0.3
IBB127	28544.3875	35125.5733	85.9594	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB128	28541.8443	35124.4329	85.8743	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB129	28539.2832	35123.2186	85.7922	28539.2834	35123.2181	85.7923	0.2	-0.5	0.1	-0.5	0.1	0.1
IBB130	28536.7317	35121.9781	85.7061	28536.7316	35121.9776	85.7065	-0.1	-0.5	0.4	-0.4	0.3	0.4
IBB131	28533.5422	35120.5498	85.6034	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB132	28530.916	35119.4147	85.5177	28530.9161	35119.4143	85.5186	0.1	-0.4	0.9	-0.4	0.1	0.9
IBB133	28528.9479	35118.6688	85.4391	28528.9474	35118.6686	85.4389	-0.5	-0.2	-0.2	0.1	0.5	-0.2
IBB134	28525.8057	35117.3319	85.3398	28525.8053	35117.3317	85.3392	-0.4	-0.2	-0.6	0.0	0.4	-0.6
IBB135	28522.5441	35116.0553	85.231	28522.5437	35116.0552	85.231	-0.4	-0.1	0.0	0.1	0.4	0.0
IBB136	28520.4973	35115.2313	85.1685	28520.4969	35115.2313	85.1679	-0.4	0.0	-0.6	0.2	0.4	-0.6
IBB137	28517.803	35114.2311	85.088	28517.8027	35114.2312	85.0876	-0.3	0.1	-0.4	0.2	0.2	-0.4
IBB138	28515.0394	35113.2246	84.9958	28515.0391	35113.2245	84.9958	-0.3	-0.1	0.0	0.0	0.3	0.0
IBB139	28510.8215	35111.7945	84.857	28510.821	35111.7945	84.8567	-0.5	0.0	-0.3	0.2	0.4	-0.3
IBB140	28509.0056	35111.1452	84.8034	28509.0054	35111.1452	84.8028	-0.2	0.0	-0.6	0.1	0.2	-0.6
IBB141	28506.9615	35110.4488	84.7401	28506.9614	35110.4489	84.7394	-0.1	0.1	-0.7	0.1	0.0	-0.7
IBB142	28503.6453	35109.3847	84.6269	28503.6451	35109.3849	84.6261	-0.2	0.2	-0.8	0.3	0.1	-0.8
IBB143	28500.9017	35108.5513	84.5374	28500.9016	35108.5515	84.5368	-0.1	0.2	-0.6	0.2	0.0	-0.6
IBB144	28497.5879	35107.6199	84.4288	28497.5878	35107.6204	84.4284	-0.1	0.5	-0.4	0.5	-0.1	-0.4
IBB145	28494.9398	35106.9938	84.3291	28494.9396	35106.9941	84.3288	-0.2	0.3	-0.3	0.4	0.0	-0.3
IBB146	28491.9026	35106.0372	84.2416	28491.9027	35106.0376	84.2416	0.1	0.4	0.0	0.3	-0.3	0.0
IBB147	28489.4468	35105.2142	84.1719	28489.4466	35105.2146	84.1718	-0.2	0.4	-0.1	0.4	0.0	-0.1
IBB148	28486.654	35104.4135	84.0857	28486.6538	35104.4141	84.0859	-0.2	0.6	0.2	0.6	-0.1	0.2
IBB149	28483.9104	35103.6452	84.0015	28483.9103	35103.6456	84.0018	-0.1	0.4	0.3	0.4	-0.1	0.3
IBB150	28480.4237	35102.7157	83.8906	28480.4236	35102.7161	83.8908	-0.1	0.4	0.2	0.4	-0.1	0.2
IBB151	28477.7187	35102.0227	83.8082	28477.7186	35102.0231	83.808	-0.1	0.4	-0.2	0.4	-0.1	-0.2
IBB152	28475.0216	35101.3822	83.7253	28475.0218	35101.3825	83.726	0.2	0.3	0.7	0.2	-0.3	0.7
IBB153	28473.0462	35100.7971	83.6668	28473.0461	35100.7974	83.6672	-0.1	0.3	0.4	0.3	0.0	0.4
IBB154	28471.2293	35100.324	83.6083	28471.2294	35100.3242	83.609	0.1	0.2	0.7	0.1	-0.2	0.7
IBB155	28468.2324	35099.5579	83.5206	28468.2324	35099.5583	83.5213	0.0	0.4	0.7	0.4	-0.2	0.7
IBB156	28463.001	35098.2818	83.3551	28463.0011	35098.2818	83.3559	0.1	0.0	0.8	0.0	-0.1	0.8
IBB157	28458.2288	35097.1692	83.2057	28458.2287	35097.1692	83.2064	-0.1	0.0	0.7	0.0	0.1	0.7
IBB158	28454.6108	35096.2887	83.0962	28454.6107	35096.2886	83.0966	-0.1	-0.1	0.4	0.0	0.1	0.4
IBB159	28449.8853	35095.1228	82.9471	28449.8853	35095.1229	82.9476	0.0	0.1	0.5	0.1	0.0	0.5
IBB160	28445.1653	35093.9973	82.8026	28445.1653	35093.9975	82.8034	0.0	0.2	0.8	0.2	-0.1	0.8
IBB201	28615.7523	35175.0124	88.5249	28615.7529	35175.014	88.5257	0.6	1.6	0.8	1.1	-1.3	0.8
IBB202	28612.0813	35171.7082	88.3807	28612.0817	35171.709	88.3805	0.4	0.8	-0.2	0.5	-0.7	-0.2
IBB203	28608.2225	35168.4498	88.2236	28608.2227	35168.4501	88.2235	0.2	0.3	-0.1	0.2	-0.3	-0.1
IBB204	28604.4519	35165.2688	88.0741	28604.4526	35165.2692	88.0742	0.7	0.4	0.1	0.0	-0.8	0.1
IBB205	28600.5603	35162.1434	87.9226	28600.5607	35162.144	87.9229	0.4	0.6	0.3	0.3	-0.6	0.3
IBB206	28597.8554	35159.9289	87.8238	28597.8555	35159.9292	87.8242	0.1	0.3	0.4	0.2	-0.2	0.4
IBB207	28595.0092	35157.7614	87.716	28595.0096	35157.7619	87.7162	0.4	0.5	0.2	0.3	-0.6	0.2
