Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
IBB101	28616.2685	35174.4843	88.5697	28616.2691	35174.4847	88.5702	0.6	0.4	0.5	0.1	-0.7	0.5
IBB102	28612.0273	35170.6779	88.3948	28612.0278	35170.6777	88.3956	0.5	-0.2	0.8	-0.4	-0.4	0.8
IBB103	28608.8041	35167.7047	88.2711	28608.8048	35167.7052	88.2714	0.7	0.5	0.3	0.1	-0.9	0.3
IBB104	28605.0811	35164.5172	88.129	28605.0814	35164.5174	88.1295	0.3	0.2	0.5	0.0	-0.4	0.5
IBB105	28601.1909	35161.4041	87.9768	28601.1915	35161.4043	87.9771	0.6	0.2	0.3	-0.1	-0.6	0.3
IBB106	28598.4228	35159.2386	87.8722	28598.4238	35159.2391	87.8725	1.0	0.5	0.3	0.0	-1.1	0.3
IBB107	28595.6039	35157.079	87.7629	28595.6043	35157.0792	87.7633	0.4	0.2	0.4	0.0	-0.4	0.4
IBB108	28593.3919	35155.4117	87.6753	28593.3923	35155.4121	87.6756	0.4	0.4	0.3	0.2	-0.5	0.3
IBB109	28591.111	35153.7296	87.5894	28591.1113	35153.7298	87.5897	0.3	0.2	0.3	0.0	-0.4	0.3
IBB110	28588.7816	35152.0492	87.4991	28588.7819	35152.0495	87.4992	0.3	0.3	0.1	0.1	-0.4	0.1
IBB111	28584.7995	35149.5052	87.3405	28584.7992	35149.5053	87.3405	-0.3	0.1	0.0	0.2	0.2	0.0
IBB112	28582.831	35148.0547	87.2748	28582.8306	35148.0547	87.2748	-0.4	0.0	0.0	0.2	0.4	0.0
IBB113	28581.2886	35146.825	87.2318	28581.288	35146.825	87.2321	-0.6	0.0	0.3	0.3	0.5	0.3
IBB114	28578.8655	35145.2284	87.1388	28578.865	35145.2284	87.1389	-0.5	0.0	0.1	0.2	0.4	0.1
IBB115	28576.505	35143.6828	87.0596	28576.5044	35143.6826	87.0597	-0.6	-0.2	0.1	0.1	0.6	0.1
IBB116	28573.575	35141.8635	86.955	28573.5743	35141.8634	86.9552	-0.7	-0.1	0.2	0.2	0.7	0.2
IBB117	28570.5845	35140.004	86.8455	28570.5839	35140.0038	86.8458	-0.6	-0.2	0.3	0.1	0.6	0.3
IBB118	28567.5497	35138.1324	86.7422	28567.5487	35138.1326	86.7429	-1.0	0.2	0.7	0.6	0.8	0.7
IBB119	28565.7149	35137.0487	86.6816	28565.7145	35137.0484	86.682	-0.4	-0.3	0.4	-0.1	0.5	0.4
IBB120	28563.2736	35135.6048	86.5966	28563.2728	35135.6049	86.5979	-0.8	0.1	1.3	0.5	0.7	1.3
IBB121	28560.1941	35133.8424	86.4897	28560.1934	35133.8424	86.4893	-0.7	0.0	-0.4	0.3	0.6	-0.4
IBB122	28557.5031	35132.3903	86.3932	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB123	28554.9843	35131.0199	86.3089	28554.9842	35131.0191	86.3089	-0.1	-0.8	0.0	-0.7	0.5	0.0
IBB124	28552.5109	35129.7042	86.2201	28552.511	35129.7037	86.2207	0.1	-0.5	0.6	-0.5	0.1	0.6
IBB125	28550.0265	35128.3888	86.1457	28550.0265	35128.388	86.146	0.0	-0.8	0.3	-0.7	0.4	0.3
IBB126	28546.9205	35126.812	86.0411	28546.9203	35126.8115	86.0413	-0.2	-0.5	0.2	-0.4	0.4	0.2
IBB127	28544.3875	35125.5733	85.9594	28544.3879	35125.5722	85.9584	0.4	-1.1	-1.0	-1.2	0.2	-1.0
IBB128	28541.8443	35124.4329	85.8743	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB129	28539.2832	35123.2186	85.7922	28539.2834	35123.2179	85.792	0.2	-0.7	-0.2	-0.7	0.1	-0.2
IBB130	28536.7317	35121.9781	85.7061	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB131	28533.5422	35120.5498	85.6034	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB132	28530.916	35119.4147	85.5177	28530.9157	35119.415	85.5181	-0.3	0.3	0.4	0.4	0.1	0.4
IBB133	28528.9479	35118.6688	85.4391	28528.9478	35118.6682	85.439	-0.1	-0.6	-0.1	-0.5	0.4	-0.1
IBB134	28525.8057	35117.3319	85.3398	28525.8055	35117.3315	85.3395	-0.2	-0.4	-0.3	-0.3	0.4	-0.3
