Point	Base E	Base N	Base RL	Easting	Northing	Reduced Level	dE	dN	dRL	dx	dy	dz
IBB101	28616.2685	35174.4843	88.5697	28616.2689	35174.4848	88.5703	0.4	0.5	0.6	0.3	-0.6	0.6
IBB102	28612.0273	35170.6779	88.3948	28612.0275	35170.6779	88.3955	0.2	0.0	0.7	-0.1	-0.2	0.7
IBB103	28608.8041	35167.7047	88.2711	28608.805	35167.7048	88.2713	0.9	0.1	0.2	-0.3	-0.8	0.2
IBB104	28605.0811	35164.5172	88.129	28605.0813	35164.5172	88.1294	0.2	0.0	0.4	-0.1	-0.2	0.4
IBB105	28601.1909	35161.4041	87.9768	28601.1913	35161.4044	87.977	0.4	0.3	0.2	0.1	-0.5	0.2
IBB106	28598.4228	35159.2386	87.8722	28598.4237	35159.2394	87.8723	0.9	0.8	0.1	0.3	-1.2	0.1
IBB107	28595.6039	35157.079	87.7629	28595.6043	35157.0793	87.7632	0.4	0.3	0.3	0.1	-0.5	0.3
IBB108	28593.3919	35155.4117	87.6753	28593.3922	35155.412	87.6756	0.3	0.3	0.3	0.1	-0.4	0.3
IBB109	28591.111	35153.7296	87.5894	28591.1114	35153.7298	87.5897	0.4	0.2	0.3	0.0	-0.4	0.3
IBB110	28588.7816	35152.0492	87.4991	28588.7819	35152.0495	87.4992	0.3	0.3	0.1	0.1	-0.4	0.1
IBB111	28584.7995	35149.5052	87.3405	28584.7991	35149.5052	87.3404	-0.4	0.0	-0.1	0.2	0.4	-0.1
IBB112	28582.831	35148.0547	87.2748	28582.8305	35148.0546	87.2748	-0.5	-0.1	0.0	0.1	0.5	0.0
IBB113	28581.2886	35146.825	87.2318	28581.2882	35146.8249	87.2321	-0.4	-0.1	0.3	0.1	0.4	0.3
IBB114	28578.8655	35145.2284	87.1388	28578.865	35145.2282	87.1388	-0.5	-0.2	0.0	0.1	0.5	0.0
IBB115	28576.505	35143.6828	87.0596	28576.5043	35143.6824	87.0596	-0.7	-0.4	0.0	0.0	0.8	0.0
IBB116	28573.575	35141.8635	86.955	28573.5745	35141.8635	86.9551	-0.5	0.0	0.1	0.2	0.4	0.1
IBB117	28570.5845	35140.004	86.8455	28570.5837	35140.0038	86.8458	-0.8	-0.2	0.3	0.2	0.8	0.3
IBB118	28567.5497	35138.1324	86.7422	28567.5488	35138.1323	86.7428	-0.9	-0.1	0.6	0.3	0.8	0.6
IBB119	28565.7149	35137.0487	86.6816	28565.7146	35137.0486	86.682	-0.3	-0.1	0.4	0.0	0.3	0.4
IBB120	28563.2736	35135.6048	86.5966	28563.2729	35135.6045	86.597	-0.7	-0.3	0.4	0.1	0.8	0.4
IBB121	28560.1941	35133.8424	86.4897	28560.1937	35133.8421	86.4897	-0.4	-0.3	0.0	-0.1	0.5	0.0
IBB122	28557.5031	35132.3903	86.3932	28557.5027	35132.3898	86.3937	-0.4	-0.5	0.5	-0.3	0.6	0.5
IBB123	28554.9843	35131.0199	86.3089	28554.9841	35131.0194	86.3088	-0.2	-0.5	-0.1	-0.4	0.4	-0.1
IBB124	28552.5109	35129.7042	86.2201	28552.5112	35129.7037	86.2205	0.3	-0.5	0.4	-0.6	0.0	0.4
IBB125	28550.0265	35128.3888	86.1457	28550.0265	35128.3882	86.1459	0.0	-0.6	0.2	-0.5	0.3	0.2
IBB126	28546.9205	35126.812	86.0411	28546.9204	35126.8115	86.0411	-0.1	-0.5	0.0	-0.4	0.3	0.0
IBB127	28544.3875	35125.5733	85.9594	28544.3878	35125.5725	85.9585	0.3	-0.8	-0.9	-0.8	0.1	-0.9
IBB128	28541.8443	35124.4329	85.8743	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB129	28539.2832	35123.2186	85.7922	28539.2834	35123.2181	85.7925	0.2	-0.5	0.3	-0.5	0.1	0.3
IBB130	28536.7317	35121.9781	85.7061	28536.7316	35121.9777	85.7064	-0.1	-0.4	0.3	-0.3	0.3	0.3
IBB131	28533.5422	35120.5498	85.6034	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data
IBB132	28530.916	35119.4147	85.5177	28530.9161	35119.4146	85.5184	0.1	-0.1	0.7	-0.1	0.0	0.7
IBB133	28528.9479	35118.6688	85.4391	28528.9471	35118.6683	85.439	-0.8	-0.5	-0.1	-0.1	0.9	-0.1
IBB134	28525.8057	35117.3319	85.3398	28525.8048	35117.332	85.3396	-0.9	0.1	-0.2	0.5	0.8	-0.2
IBB135	28522.5441	35116.0553	85.231	28522.5431	35116.0551	85.2314	-1.0	-0.2	0.4	0.3	1.0	0.4
IBB136	28520.4973	35115.2313	85.1685	28520.4965	35115.2312	85.1683	-0.8	-0.1	-0.2	0.3	0.8	-0.2
IBB137	28517.803	35114.2311	85.088	28517.8023	35114.2312	85.0879	-0.7	0.1	-0.1	0.4	0.6	-0.1
IBB138	28515.0394	35113.2246	84.9958	28515.0384	35113.2244	84.9959	-1.0	-0.2	0.1	0.3	1.0	0.1
IBB139	28510.8215	35111.7945	84.857	28510.8209	35111.7946	84.8567	-0.6	0.1	-0.3	0.4	0.5	-0.3
IBB140	28509.0056	35111.1452	84.8034	28509.0053	35111.1454	84.8032	-0.3	0.2	-0.2	0.3	0.2	-0.2
IBB141	28506.9615	35110.4488	84.7401	28506.9606	35110.4489	84.7395	-0.9	0.1	-0.6	0.5	0.8	-0.6
IBB142	28503.6453	35109.3847	84.6269	28503.6444	35109.3848	84.6263	-0.9	0.1	-0.6	0.5	0.8	-0.6
IBB143	28500.9017	35108.5513	84.5374	28500.9012	35108.5513	84.537	-0.5	0.0	-0.4	0.2	0.4	-0.4
IBB144	28497.5879	35107.6199	84.4288	28497.5876	35107.6203	84.4286	-0.3	0.4	-0.2	0.5	0.1	-0.2
IBB145	28494.9398	35106.9938	84.3291	28494.9395	35106.994	84.3289	-0.3	0.2	-0.2	0.3	0.2	-0.2
IBB146	28491.9026	35106.0372	84.2416	28491.9025	35106.0377	84.2415	-0.1	0.5	-0.1	0.5	-0.1	-0.1
IBB147	28489.4468	35105.2142	84.1719	28489.4468	35105.2145	84.1721	0.0	0.3	0.2	0.3	-0.1	0.2
IBB148	28486.654	35104.4135	84.0857	28486.654	35104.4139	84.0859	0.0	0.4	0.2	0.4	-0.2	0.2
IBB149	28483.9104	35103.6452	84.0015	28483.9109	35103.6455	84.0019	0.5	0.3	0.4	0.0	-0.6	0.4
IBB150	28480.4237	35102.7157	83.8906	28480.4242	35102.716	83.8911	0.5	0.3	0.5	0.0	-0.6	0.5
IBB151	28477.7187	35102.0227	83.8082	28477.7186	35102.0228	83.8087	-0.1	0.1	0.5	0.1	0.0	0.5
IBB152	28475.0216	35101.3822	83.7253	28475.0218	35101.3825	83.7259	0.2	0.3	0.6	0.2	-0.3	0.6
IBB153	28473.0462	35100.7971	83.6668	28473.0466	35100.7975	83.6673	0.4	0.4	0.5	0.2	-0.5	0.5
IBB154	28471.2293	35100.324	83.6083	28471.2296	35100.3242	83.609	0.3	0.2	0.7	0.0	-0.4	0.7
